0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
10,62,136,196,246,305,358,393,430,457,458,434,431,354,305,255,228,199,184,139,68,44,39,30,18,11,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,58,144,214,286,336,384,418,447,482,475,415,378,322,287,233,197,162,143,119,98,64,48,35,24,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,54,134,196,242,282,313,340,342,346,337,324,292,291,267,238,236,220,206,175,161,126,105,92,83,72,62,59,48,35,31,26,20,15,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,55,120,185,238,278,323,331,326,327,316,308,296,261,253,240,223,203,189,172,149,142,137,131,127,121,115,100,53,27,20,13,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,60,143,204,267,298,331,342,352,368,385,372,385,390,377,311,234,191,166,130,104,86,61,57,48,44,34,25,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,61,137,216,281,333,364,393,401,406,392,373,337,334,333,314,284,260,190,106,58,42,35,29,24,25,20,16,13,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,63,145,226,290,356,411,425,424,429,448,398,350,289,241,202,198,175,158,138,108,93,66,48,39,30,20,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,56,131,190,235,270,301,329,325,320,333,345,357,350,339,291,249,215,173,136,113,102,86,78,76,71,61,55,45,43,34,23,20,14,12,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,56,132,198,255,295,322,349,366,399,413,415,426,403,360,309,265,237,221,166,101,50,28,14,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,60,145,212,261,323,356,389,381,404,402,376,367,342,237,207,172,161,148,138,119,97,74,74,60,56,44,45,37,32,30,27,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,51,139,199,272,352,384,407,429,448,451,452,412,386,361,236,138,115,88,81,75,63,65,59,41,33,20,18,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,59,150,217,267,325,347,376,417,415,437,432,396,375,355,292,215,166,121,97,90,79,55,37,22,16,14,10,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,62,138,200,250,294,332,363,379,419,416,361,346,294,250,164,137,127,120,116,104,94,87,71,70,60,58,55,52,46,42,42,41,35,32,29,28,24,23,12,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,58,140,205,264,319,369,424,409,414,433,448,451,381,306,263,209,173,126,103,84,74,56,52,19,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,57,118,178,209,241,242,277,289,291,306,293,293,260,241,235,235,234,224,208,208,188,162,157,134,130,125,54,44,38,31,28,23,17,11,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,64,144,225,284,345,392,426,419,398,373,381,362,349,328,242,205,171,151,129,110,86,65,41,33,24,19,13,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,62,131,194,241,279,319,339,376,392,425,414,358,341,310,275,268,267,152,133,101,75,58,48,40,36,31,28,23,21,16,14,9,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,63,139,209,252,266,291,316,339,373,369,335,337,340,335,335,293,248,209,173,148,114,96,78,51,29,22,16,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,65,139,215,272,316,347,390,405,435,382,345,305,289,278,254,217,177,144,131,115,106,97,85,71,61,46,34,26,17,13,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,61,141,204,272,328,380,409,432,436,456,438,413,326,283,261,232,208,164,117,73,54,36,25,19,11,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
