0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
18984,18944,18858,18719,18505,18239,17922,17571,17163,16695,16199,15676,15122,14527,13932,13302,12692,12114,11504,10903,10345,9797,9259,8715,8179,7659,7167,6689,6194,5731,5296,4869,4482,4120,3738,3402,3093,2815,2558,2331,2113,1916,1716,1529,1336,1162,989,847,717,602,490,402,332,271,222,175,128,93,49,20,4,0,0,0,0,0,0
18984,18957,18889,18756,18577,18339,18064,17742,17372,16929,16478,15978,15456,14895,14323,13693,13057,12418,11760,11094,10437,9737,9054,8352,7642,6969,6272,5597,4945,4299,3700,3110,2551,2082,1735,1458,1214,991,773,576,448,347,267,200,143,108,79,56,41,23,12,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18984,18951,18872,18745,18571,18350,18070,17747,17372,16984,16530,16011,15491,14992,14478,13939,13417,12842,12280,11726,11163,10637,10128,9660,9162,8711,8311,7923,7548,7186,6837,6512,6215,5935,5667,5413,5173,4938,4702,4488,4262,4038,3825,3626,3440,3264,3089,2931,2769,2620,2479,2343,2216,2091,1970,1859,1742,1629,1539,1448,1368,1287,1212,1136,1051,974,910
18984,18951,18870,18750,18562,18351,18069,17739,17388,17013,16624,16216,15818,15350,14877,14400,13888,13370,12850,12325,11781,11232,10655,10059,9475,8892,8299,7685,7121,6584,6062,5576,5087,4638,4227,3825,3444,3088,2757,2445,2174,1914,1678,1459,1245,1051,860,688,552,448,363,289,218,155,96,61,35,14,3,1,0,0,0,0,0,0,0
18984,18950,18873,18753,18585,18380,18118,17794,17426,17022,16555,16043,15507,14935,14332,13708,13057,12420,11759,11103,10451,9806,9210,8613,8046,7477,6928,6422,5920,5427,4986,4556,4187,3824,3488,3185,2893,2601,2333,2091,1868,1647,1436,1221,1025,849,700,570,452,360,277,212,165,119,88,58,35,19,8,3,0,0,0,0,0,0,0
18984,18951,18873,18736,18536,18269,17951,17595,17179,16733,16232,15689,15135,14560,13985,13387,12764,12157,11526,10907,10266,9646,9042,8409,7822,7230,6712,6183,5719,5301,4942,4611,4290,3968,3671,3406,3176,2940,2711,2486,2270,2064,1866,1698,1540,1392,1260,1116,983,852,736,630,512,420,326,239,162,110,61,37,12,1,0,0,0,0,0
18984,18950,18873,18718,18507,18235,17906,17521,17084,16605,16105,15553,14987,14393,13843,13295,12753,12212,11675,11134,10609,10085,9554,9017,8477,7936,7421,6887,6350,5845,5336,4829,4351,3900,3465,3064,2700,2362,2061,1782,1535,1279,1074,882,705,567,449,359,291,237,197,159,121,86,62,42,22,9,3,2,0,0,0,0,0,0,0
18984,18953,18857,18695,18491,18241,17963,17636,17282,16901,16475,16021,15546,15070,14593,14104,13601,13114,12629,12151,11698,11253,10828,10421,10048,9707,9368,9038,8728,8414,8086,7765,7473,7196,6912,6653,6397,6122,5865,5605,5373,5147,4901,4659,4429,4196,3966,3746,3529,3319,3123,2913,2724,2538,2362,2163,1998,1821,1660,1510,1362,1220,1079,950,829,694,565
18984,18951,18877,18768,18593,18371,18088,17776,17417,17048,16620,16148,15689,15196,14709,14184,13644,13096,12551,11969,11389,10754,10181,9592,9013,8399,7834,7281,6745,6235,5709,5190,4637,4137,3683,3251,2875,2552,2253,1976,1707,1475,1279,1126,995,866,750,649,538,443,358,283,216,153,115,84,58,42,22,10,4,0,0,0,0,0,0
18984,18952,18873,18739,18549,18301,17988,17631,17219,16745,16231,15685,15122,14507,13922,13277,12623,11957,11291,10655,10004,9363,8738,8121,7584,7061,6561,6084,5646,5233,4865,4528,4220,3951,3721,3493,3273,3075,2851,2661,2471,2276,2088,1917,1747,1592,1431,1282,1131,1004,898,805,722,644,578,520,461,405,349,304,257,222,180,150,117,91,63
18984,18956,18875,18735,18545,18299,18024,17706,17357,16984,16583,16168,15712,15253,14786,14321,13833,13346,12889,12440,11982,11516,11062,10612,10149,9685,9280,8874,8510,8125,7731,7364,6989,6590,6217,5864,5518,5163,4798,4445,4102,3757,3422,3083,2739,2370,2028,1671,1377,1127,890,692,542,406,293,196,123,69,40,16,7,3,0,0,0,0,0
18984,18948,18874,18754,18581,18338,18051,17728,17354,16943,16479,15978,15448,14874,14309,13751,13203,12657,12074,11481,10866,10278,9704,9125,8555,7956,7374,6771,6187,5605,5055,4563,4116,3693,3301,2914,2554,2199,1879,1571,1332,1127,927,746,580,442,315,205,138,103,70,45,27,11,5,2,0,0,0,0,0,0,0,0,0,0,0
18984,18956,18889,18770,18594,18369,18075,17746,17364,16963,16505,16024,15542,15023,14463,13882,13280,12666,12025,11438,10860,10283,9718,9124,8542,8029,7542,7066,6647,6247,5849,5477,5127,4793,4455,4145,3850,3569,3320,3086,2850,2636,2434,2235,2046,1853,1681,1515,1339,1198,1083,960,846,742,650,574,512,445,378,327,271,228,186,155,122,97,66
18984,18950,18879,18745,18553,18331,18042,17696,17305,16866,16398,15904,15361,14801,14198,13574,12932,12260,11638,11002,10348,9708,9085,8433,7822,7209,6625,6036,5487,4945,4428,3926,3459,3019,2620,2216,1852,1486,1183,953,756,597,451,336,244,173,125,83,54,28,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18984,18950,18872,18743,18553,18294,17983,17603,17204,16773,16300,15779,15211,14596,13951,13286,12603,11936,11227,10508,9809,9086,8366,7669,7058,6457,5920,5393,4890,4428,3995,3575,3181,2820,2462,2150,1859,1599,1341,1142,942,765,633,511,433,363,312,257,213,171,140,103,72,43,26,13,3,0,0,0,0,0,0,0,0,0,0
18984,18957,18879,18757,18585,18363,18112,17817,17474,17136,16761,16382,15977,15571,15130,14721,14325,13929,13530,13140,12747,12379,12044,11693,11362,11049,10738,10423,10099,9792,9489,9167,8845,8516,8176,7870,7560,7228,6887,6562,6244,5914,5615,5345,5074,4815,4569,4327,4098,3860,3633,3424,3193,2997,2797,2594,2404,2227,2054,1873,1712,1550,1391,1236,1090,939,794
