0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
25832,25807,25759,25674,25555,25375,25189,24960,24680,24383,24043,23675,23263,22827,22316,21825,21314,20764,20153,19491,18812,18115,17408,16708,16036,15362,14733,14133,13534,12947,12360,11796,11253,10733,10191,9685,9226,8781,8353,7961,7576,7206,6856,6499,6122,5786,5428,5071,4733,4396,4066,3739,3446,3160,2911,2637,2388,2162,1935,1719,1539,1351,1204,1060,927,794,687,576,480,397,315,253,202,154,112,82,54,32,15,4
25832,25813,25774,25692,25567,25412,25209,24978,24691,24391,24040,23662,23260,22841,22393,21955,21483,20977,20454,19928,19421,18917,18400,17897,17368,16884,16400,15907,15395,14902,14403,13883,13356,12857,12343,11854,11361,10891,10409,9923,9447,9005,8555,8141,7750,7327,6939,6554,6173,5796,5440,5089,4754,4430,4133,3821,3552,3312,3070,2867,2659,2469,2284,2093,1922,1755,1587,1443,1302,1171,1039,930,819,708,620,530,451,392,334,276
25832,25814,25759,25677,25570,25413,25224,24997,24737,24421,24075,23708,23292,22827,22359,21862,21328,20788,20232,19677,19101,18484,17878,17270,16675,16036,15411,14760,14098,13442,12758,12065,11405,10719,10035,9349,8684,8046,7403,6793,6229,5637,5077,4498,3962,3531,3105,2694,2316,1969,1637,1333,1084,871,710,559,441,334,265,205,150,112,80,47,27,16,10,6,2,1,1,1,1,1,1,1,1,1,1,1
25832,25807,25751,25662,25534,25371,25176,24916,24623,24321,23977,23596,23187,22756,22330,21848,21336,20793,20278,19734,19166,18563,17968,17356,16753,16130,15559,14983,14369,13824,13316,12823,12393,11962,11543,11136,10692,10287,9881,9458,9068,8681,8266,7883,7518,7147,6796,6471,6165,5889,5630,5366,5118,4894,4662,4448,4222,3995,3773,3553,3340,3165,2997,2824,2693,2558,2432,2312,2179,2062,1955,1848,1746,1630,1527,1420,1330,1244,1159,1075
25832,25808,25751,25660,25523,25349,25155,24886,24587,24249,23854,23420,22992,22514,21997,21486,20918,20322,19695,18999,18331,17640,16909,16205,15455,14681,13873,13075,12321,11586,10853,10120,9435,8737,8098,7490,6905,6374,5852,5316,4844,4329,3843,3382,2969,2527,2134,1774,1462,1218,1011,839,697,565,447,352,261,186,122,79,47,23,10,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25832,25808,25762,25680,25554,25391,25169,24903,24602,24242,23866,23445,22974,22467,21945,21372,20804,20203,19568,18883,18219,17554,16866,16187,15526,14824,14139,13435,12724,12001,11260,10558,9904,9248,8626,7997,7359,6750,6171,5612,5106,4656,4218,3838,3473,3149,2861,2609,2346,2090,1871,1664,1489,1327,1177,1040,911,796,696,610,533,472,405,352,295,248,204,166,134,105,86,60,32,21,14,11,7,3,2,2
25832,25807,25749,25662,25531,25376,25179,24942,24663,24346,23993,23590,23158,22718,22240,21717,21198,20646,20071,19514,18952,18411,17846,17234,16673,16091,15517,14961,14392,13849,13302,12738,12208,11696,11210,10747,10236,9788,9342,8884,8458,8077,7684,7338,6998,6661,6336,6015,5715,5414,5138,4848,4578,4308,4088,3877,3654,3454,3244,3053,2870,2705,2542,2382,2209,2081,1948,1826,1714,1591,1494,1390,1296,1202,1126,1055,985,917,850,785
25832,25806,25763,25673,25548,25410,25220,25004,24744,24435,24093,23724,23363,22931,22434,21888,21315,20729,20092,19445,18771,18062,17366,16645,15900,15124,14359,13590,12802,12051,11255,10444,9644,8921,8274,7634,7027,6470,5927,5491,5090,4710,4387,4074,3792,3513,3271,3033,2808,2593,2398,2205,2046,1886,1754,1636,1542,1446,1340,1242,1155,1080,1012,937,867,795,735,676,626,573,524,470,422,372,327,291,237,196,168,135
25832,25807,25746,25663,25530,25370,25188,24948,24677,24353,24004,23628,23210,22728,22261,21753,21211,20685,20134,19575,19022,18416,17827,17269,16687,16125,15589,15070,14566,14067,13576,13082,12576,12099,11621,11163,10724,10301,9879,9446,9022,8624,8205,7776,7369,6951,6548,6129,5732,5318,4888,4470,4066,3670,3290,2962,2636,2365,2134,1948,1810,1683,1553,1438,1330,1222,1117,1025,912,810,725,641,564,495,433,373,310,256,217,171
25832,25804,25756,25672,25545,25380,25174,24947,24682,24360,23988,23598,23151,22679,22203,21718,21198,20642,20062,19470,18904,18292,17708,17109,16566,15996,15405,14803,14209,13588,13010,12388,11830,11281,10722,10167,9564,8968,8410,7843,7304,6785,6297,5850,5422,5027,4677,4361,4066,3800,3569,3319,3110,2904,2715,2513,2320,2129,1960,1800,1639,1472,1321,1198,1071,957,847,755,662,579,501,440,375,316,266,216,172,140,107,79
