0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
19297,19278,19240,19192,19111,19008,18863,18700,18506,18302,18077,17800,17521,17177,16810,16413,16012,15582,15130,14674,14236,13817,13394,12967,12542,12103,11684,11277,10884,10503,10113,9716,9339,8955,8592,8221,7857,7528,7195,6889,6560,6272,5959,5680,5414,5137,4864,4615,4388,4198,4021,3840,3679,3525,3369,3194,3042,2887,2737,2596,2457,2337,2213,2089,1969,1856,1744,1646,1541,1460,1367
19297,19281,19250,19201,19130,19029,18916,18765,18581,18350,18116,17836,17531,17227,16893,16512,16105,15708,15293,14864,14453,14000,13569,13116,12687,12233,11801,11326,10852,10371,9896,9433,8971,8567,8156,7751,7334,6904,6527,6139,5787,5456,5172,4908,4639,4366,4110,3865,3652,3448,3256,3080,2912,2761,2636,2523,2414,2308,2198,2092,1986,1904,1817,1745,1657,1576,1491,1403,1329,1244,1171
19297,19275,19221,19148,19046,18900,18737,18540,18294,18040,17745,17452,17123,16786,16455,16074,15722,15371,14988,14601,14231,13828,13464,13097,12705,12332,11952,11549,11185,10798,10394,10001,9581,9177,8812,8439,8071,7719,7351,6996,6650,6319,5985,5673,5351,5050,4752,4453,4172,3890,3626,3384,3163,2975,2787,2614,2451,2300,2151,2021,1897,1775,1654,1566,1493,1421,1350,1275,1196,1130,1063
19297,19282,19248,19190,19113,18990,18855,18675,18464,18206,17908,17594,17234,16866,16443,15991,15505,14992,14506,13989,13445,12871,12301,11736,11186,10681,10164,9674,9149,8657,8161,7708,7231,6735,6260,5771,5288,4839,4427,4033,3702,3355,3081,2802,2541,2299,2090,1920,1783,1647,1517,1399,1291,1197,1124,1057,991,925,855,796,744,704,653,609,567,532,496,458,431,414,393
19297,19278,19249,19203,19124,19010,18874,18709,18490,18253,17975,17686,17374,17061,16753,16423,16069,15645,15249,14829,14411,14008,13600,13213,12821,12408,11991,11576,11143,10735,10281,9858,9468,9047,8637,8227,7838,7472,7116,6752,6413,6073,5729,5389,5072,4788,4541,4296,4068,3820,3582,3346,3139,2944,2764,2608,2446,2278,2121,1973,1823,1666,1548,1416,1307,1219,1121,1023,925,853,780
19297,19281,19238,19191,19107,18988,18835,18639,18415,18153,17870,17549,17194,16807,16392,15975,15543,15137,14751,14332,13925,13528,13130,12717,12287,11887,11493,11086,10683,10298,9926,9560,9156,8765,8380,7971,7578,7188,6769,6389,6009,5651,5291,4926,4582,4274,3963,3652,3380,3083,2804,2543,2326,2133,1942,1745,1575,1401,1244,1091,937,773,635,512,426,381,342,313,289,271,256
19297,19275,19224,19158,19061,18949,18822,18674,18482,18263,18030,17751,17443,17107,16750,16389,16017,15618,15218,14831,14462,14091,13740,13419,13116,12800,12472,12163,11858,11568,11254,10947,10662,10338,10047,9767,9498,9228,8951,8704,8454,8224,7968,7711,7440,7192,6937,6705,6490,6265,6052,5831,5624,5428,5225,5029,4840,4661,4476,4294,4111,3953,3793,3642,3481,3321,3148,2993,2841,2689,2543
19297,19272,19228,19155,19045,18913,18743,18569,18365,18125,17845,17539,17172,16788,16378,15952,15486,15003,14475,13954,13417,12884,12326,11782,11267,10735,10208,9646,9108,8570,8057,7533,7008,6504,6011,5539,5147,4757,4405,4073,3759,3456,3174,2910,2670,2437,2226,2029,1865,1684,1520,1363,1207,1073,963,876,807,725,643,576,517,468,429,396,378,360,339,321,310,301,289
19297,19279,19238,19167,19063,18938,18781,18604,18404,18179,17914,17627,17313,17003,16666,16313,15920,15526,15111,14658,14189,13714,13234,12770,12294,11823,11360,10885,10444,10011,9598,9144,8721,8280,7846,7424,7011,6630,6276,5978,5685,5368,5072,4790,4512,4287,4060,3852,3617,3371,3124,2910,2696,2511,2349,2201,2057,1908,1756,1601,1469,1340,1207,1097,1007,927,867,802,749,689,643
19297,19272,19228,19160,19067,18943,18777,18605,18401,18164,17917,17638,17343,17028,16694,16359,16012,15695,15351,14999,14599,14232,13850,13459,13085,12731,12367,12019,11704,11405,11151,10861,10597,10308,10016,9729,9444,9159,8873,8591,8306,8063,7788,7518,7216,6927,6650,6355,6076,5802,5500,5186,4907,4644,4374,4104,3834,3570,3299,3056,2809,2587,2378,2178,1992,1815,1632,1466,1314,1171,1047
