0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
0,10,56,174,368,660,1018,1445,1945,2496,3109,3796,4541,5322,6141,7017,7927,8825,9711,10586,11462,12325,13138,13944,14708,15466,16193,16919,17611,18277,18933,19574,20199,20813,21420,22009,22587,23133,23607,24018,24397,24776,25129,25469,25798,26112,26428,26734,27024,27299,27554,27802,28044,28265,28464,28656,28831,29005,29154,29304,29446,29577,29700,29812,29915,30008,30092,30164,30238,30294,30341,30375,30397,30413,30421,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422
0,10,66,193,393,660,993,1380,1836,2346,2900,3491,4128,4801,5508,6246,7009,7789,8561,9339,10135,10908,11678,12461,13220,13982,14735,15484,16240,17005,17769,18556,19294,20013,20715,21404,22072,22725,23343,23921,24481,25008,25513,25990,26424,26851,27271,27675,28062,28421,28758,29069,29312,29508,29676,29829,29971,30096,30201,30289,30365,30413,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423
0,10,72,201,410,680,1014,1428,1927,2506,3126,3786,4486,5230,6013,6830,7679,8566,9476,10414,11350,12265,13121,13944,14771,15601,16421,17238,18012,18768,19514,20225,20868,21507,22122,22715,23305,23855,24375,24841,25282,25706,26106,26479,26842,27203,27552,27882,28203,28506,28790,29030,29250,29433,29597,29736,29861,29962,30033,30095,30147,30188,30225,30262,30294,30321,30348,30368,30387,30400,30409,30414,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415
0,10,59,180,380,660,1015,1441,1967,2566,3230,3923,4662,5467,6304,7160,8035,8939,9889,10845,11802,12731,13684,14620,15523,16388,17251,18099,18898,19695,20472,21224,21900,22518,23103,23663,24208,24738,25227,25692,26146,26556,26901,27214,27502,27783,28041,28288,28519,28727,28918,29092,29244,29389,29522,29638,29745,29836,29913,29987,30044,30095,30148,30196,30235,30271,30300,30327,30353,30375,30391,30404,30413,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418
0,10,66,186,373,642,981,1376,1829,2338,2887,3487,4122,4785,5482,6224,6979,7756,8582,9440,10315,11185,12032,12849,13663,14430,15175,15920,16656,17392,18149,18895,19638,20370,21049,21715,22363,23008,23607,24192,24785,25354,25876,26377,26878,27348,27786,28183,28575,28829,29071,29287,29501,29706,29893,30039,30111,30171,30224,30262,30305,30340,30368,30388,30404,30415,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421
0,10,62,187,404,687,1036,1453,1942,2483,3078,3762,4515,5320,6110,6967,7884,8833,9819,10836,11883,12946,14003,15022,16016,16988,17953,18869,19727,20543,21245,21890,22531,23164,23767,24359,24933,25485,25945,26335,26690,27011,27301,27542,27766,27979,28184,28386,28580,28764,28943,29100,29242,29364,29476,29577,29672,29761,29842,29919,29998,30063,30118,30170,30218,30261,30298,30332,30357,30380,30400,30414,30418,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419
0,10,66,196,404,671,998,1385,1826,2329,2866,3448,4090,4772,5481,6222,7020,7858,8735,9666,10637,11592,12577,13582,14617,15651,16688,17737,18761,19746,20684,21559,22350,23090,23757,24393,25003,25572,26109,26644,27157,27653,28156,28583,28854,29086,29284,29453,29603,29725,29822,29903,29980,30042,30098,30146,30191,30233,30276,30310,30342,30368,30391,30407,30420,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422
0,10,63,185,403,692,1057,1502,2002,2574,3198,3877,4621,5434,6280,7167,8107,9088,10092,11138,12169,13183,14166,15174,16096,16977,17817,18564,19254,19855,20439,20994,21547,22094,22624,23138,23608,24053,24482,24902,25293,25643,25973,26271,26555,26820,27080,27318,27547,27762,27958,28150,28337,28512,28687,28861,29022,29178,29316,29448,29577,29696,29798,29895,29987,30071,30141,30200,30254,30307,30355,30389,30410,30417,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418
0,10,60,190,396,685,1038,1472,1968,2544,3196,3895,4652,5454,6270,7108,7984,8829,9702,10595,11512,12435,13355,14265,15184,16074,16879,17633,18345,19038,19678,20296,20907,21508,22083,22638,23185,23707,24207,24697,25159,25602,26028,26431,26808,27164,27501,27810,28102,28386,28656,28913,29160,29394,29599,29747,29876,29979,30065,30140,30204,30261,30310,30355,30386,30409,30420,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421
0,10,68,197,411,704,1059,1485,1982,2547,3158,3832,4557,5313,6090,6915,7773,8679,9601,10493,11309,12116,12956,13748,14516,15263,16031,16784,17532,18252,18978,19692,20417,21097,21749,22386,22980,23572,24136,24697,25239,25701,26133,26546,26946,27322,27681,28005,28286,28541,28777,29000,29206,29404,29587,29760,29917,30051,30169,30272,30351,30384,30407,30420,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422
0,10,71,216,419,716,1060,1476,1949,2482,3097,3774,4501,5292,6140,6998,7899,8849,9817,10827,11831,12853,13919,15005,16118,17212,18299,19321,20197,20956,21669,22272,22839,23395,23924,24409,24869,25310,25693,26054,26401,26728,27046,27348,27631,27911,28171,28415,28649,28879,29080,29262,29438,29592,29721,29838,29932,30019,30098,30164,30216,30269,30311,30342,30373,30396,30410,30416,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417
0,10,63,193,399,685,1031,1464,1974,2569,3231,3945,4681,5468,6296,7169,8086,9025,9983,10968,11930,12868,13789,14694,15533,16288,16970,17602,18155,18670,19181,19676,20180,20660,21143,21617,22080,22523,22954,23373,23780,24166,24553,24926,25307,25669,26009,26346,26677,26986,27274,27542,27802,28044,28279,28492,28688,28878,29054,29208,29353,29479,29600,29703,29791,29870,29945,30021,30088,30153,30215,30266,30303,30334,30358,30379,30395,30404,30410,30413,30414,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415,30415
0,10,69,201,411,676,1008,1402,1875,2398,2984,3633,4348,5089,5863,6682,7543,8404,9273,10143,11023,11826,12588,13284,13993,14691,15384,16075,16730,17395,18083,18743,19350,19921,20475,21029,21549,22059,22548,23026,23492,23917,24334,24743,25139,25493,25822,26100,26343,26568,26785,27003,27207,27396,27577,27767,27940,28118,28274,28425,28575,28711,28849,28981,29102,29215,29323,29434,29538,29637,29736,29830,29921,30002,30074,30130,30189,30242,30285,30322,30351,30376,30395,30412,30420,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421
0,10,60,181,383,670,1035,1453,1940,2487,3088,3722,4408,5130,5902,6697,7511,8352,9164,9966,10770,11519,12230,12943,13679,14433,15175,15880,16576,17240,17889,18460,19023,19571,20119,20608,21075,21533,21985,22422,22853,23278,23690,24095,24497,24897,25273,25631,25987,26324,26661,26995,27314,27629,27936,28237,28542,28832,29014,29180,29338,29490,29621,29748,29875,29991,30100,30166,30217,30260,30295,30322,30350,30375,30392,30406,30416,30422,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423
