0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
0,0,0,10,50,138,279,448,668,935,1276,1646,2053,2503,3002,3495,4031,4583,5147,5717,6275,6834,7372,7834,8274,8699,9091,9424,9744,10042,10332,10617,10878,11120,11360,11590,11808,12026,12239,12421,12571,12678,12752,12822,12882,12943,12988,13031,13080,13118,13149,13174,13184,13196
0,0,0,10,42,112,241,422,656,927,1229,1573,1922,2310,2733,3189,3645,4100,4577,5052,5494,5959,6418,6829,7226,7605,7960,8314,8647,8967,9258,9518,9738,9935,10123,10323,10514,10682,10863,11015,11170,11332,11496,11649,11792,11928,12043,12149,12247,12340,12431,12513,12592,12668
0,0,0,10,41,119,248,418,650,930,1278,1642,2054,2462,2902,3377,3831,4266,4689,5124,5585,6025,6443,6884,7310,7707,8067,8411,8721,9019,9309,9587,9858,10099,10351,10592,10830,11037,11224,11398,11580,11736,11892,12035,12193,12311,12420,12519,12606,12683,12741,12799,12850,12903
0,0,0,10,46,128,276,483,744,1049,1426,1842,2308,2820,3375,3971,4562,5152,5767,6360,6987,7614,8171,8736,9252,9716,10140,10558,10920,11274,11576,11862,12118,12334,12509,12672,12808,12897,12969,13043,13092,13146,13180,13202,13209,13211,13211,13211,13211,13211,13211,13211,13211,13211
0,0,0,10,49,130,259,439,659,917,1218,1528,1851,2208,2574,2974,3384,3807,4248,4717,5203,5662,6191,6697,7215,7706,8159,8616,9046,9449,9814,10124,10433,10718,10991,11245,11478,11695,11903,12118,12300,12469,12615,12744,12845,12931,13003,13059,13106,13153,13174,13188,13198,13203
0,0,0,10,44,129,271,446,686,960,1274,1641,2021,2432,2861,3344,3871,4395,4948,5517,6133,6732,7260,7827,8340,8807,9239,9666,10055,10417,10743,11054,11369,11654,11919,12135,12314,12463,12593,12724,12829,12911,12973,13025,13079,13124,13163,13195,13206,13209,13209,13209,13209,13209
0,0,0,10,41,116,244,400,599,842,1112,1389,1694,2041,2385,2744,3094,3464,3876,4259,4672,5077,5497,5916,6356,6799,7243,7703,8109,8478,8842,9194,9538,9844,10158,10451,10723,10940,11119,11284,11440,11569,11705,11843,11980,12089,12201,12303,12392,12479,12562,12642,12715,12790
0,0,0,10,33,103,213,384,619,895,1207,1528,1904,2301,2717,3169,3615,4078,4534,5008,5488,5997,6526,7034,7565,8070,8553,8989,9367,9700,10017,10309,10589,10855,11084,11290,11486,11663,11850,12015,12174,12321,12459,12579,12702,12814,12919,13003,13063,13107,13140,13165,13176,13187
0,0,0,10,41,122,243,416,626,903,1220,1586,1968,2396,2825,3292,3800,4332,4853,5378,5925,6433,6930,7414,7899,8355,8785,9203,9614,9983,10360,10751,11115,11454,11761,12055,12340,12586,12740,12863,12948,13026,13076,13110,13141,13166,13183,13201,13208,13211,13211,13211,13211,13211
0,0,0,10,44,115,232,418,659,950,1291,1638,2036,2437,2870,3290,3725,4143,4582,5030,5477,5931,6378,6793,7184,7567,7955,8300,8641,8953,9262,9567,9865,10175,10459,10741,10960,11172,11333,11489,11656,11820,11965,12107,12233,12368,12489,12608,12721,12811,12906,12985,13053,13105
0,0,0,10,30,94,209,376,597,851,1149,1533,1930,2394,2898,3405,3890,4368,4860,5352,5849,6345,6811,7278,7706,8119,8523,8895,9275,9617,9964,10315,10651,10981,11296,11571,11851,12073,12295,12492,12665,12824,12937,13026,13092,13141,13175,13197,13209,13211,13211,13211,13211,13211
