0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86
10,74,219,430,645,832,989,1097,1157,1121,1063,1012,1010,1021,1034,1047,1056,1004,878,723,594,527,479,434,388,344,310,251,188,121,89,58,33,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,82,236,445,663,848,1007,1136,1222,1282,1335,1396,1435,1412,1308,1168,1007,891,784,669,502,363,277,258,206,155,85,49,14,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,75,215,412,597,746,845,939,1018,1092,1114,1122,1129,1143,1151,1141,1112,997,854,711,637,586,540,442,321,211,155,129,114,105,94,75,59,49,44,41,36,35,31,28,23,19,17,13,11,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,72,215,408,612,803,985,1105,1151,1135,1121,1113,1115,1114,1090,1017,881,738,609,524,453,405,363,320,288,266,255,247,228,199,166,145,138,134,127,112,93,73,59,50,44,42,37,35,31,27,23,19,17,13,11,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,79,236,447,664,853,1024,1160,1273,1377,1396,1364,1302,1276,1243,1185,1098,981,825,667,521,404,315,242,160,90,37,16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,75,222,417,598,731,825,889,942,997,1044,1050,1041,1000,954,902,874,856,834,811,794,779,748,652,523,382,295,231,189,159,131,107,81,60,33,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,77,233,441,638,789,906,990,1019,1015,979,921,851,800,776,753,713,671,641,612,584,547,501,447,387,345,313,290,268,245,228,212,200,185,174,160,147,132,118,110,101,95,85,76,68,62,57,51,46,41,36,30,24,19,15,10,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,77,228,449,676,857,994,1095,1149,1151,1128,1124,1132,1106,1064,1006,936,838,735,658,599,520,436,352,295,245,197,162,141,132,124,115,103,82,62,45,39,35,31,27,23,19,17,13,11,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,73,215,380,550,664,778,875,989,1093,1174,1232,1274,1194,1085,922,818,690,610,566,544,513,464,415,369,343,298,248,202,186,175,167,157,149,139,132,125,102,78,52,43,34,28,23,19,17,13,11,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,76,217,393,562,697,846,945,1032,1069,1133,1160,1160,1115,1043,983,912,834,733,649,604,579,558,505,453,399,370,345,278,211,141,115,77,38,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,76,218,412,601,774,923,1051,1079,1076,1048,1066,1055,997,906,832,797,790,783,766,745,711,669,612,494,360,237,185,168,151,136,117,100,85,72,60,48,28,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,81,245,468,700,872,1012,1099,1150,1142,1100,1030,989,960,957,890,783,662,589,554,531,515,499,483,456,413,364,306,250,199,163,141,119,98,79,67,57,50,40,31,24,19,17,13,11,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
