0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
10,35,69,117,183,242,302,344,378,444,520,586,673,751,794,836,892,949,1011,1049,1058,1070,1091,1102,1059,1047,1059,1089,1100,1076,1051,1037,1049,1029,997,965,864,782,742,684,646,617,585,546,504,473,444,408,361,345,345,321,313,290,244,197,156,151,164,149,126,108,88,72,51,36,39,39,29,20,21
10,28,59,112,175,229,282,334,377,425,490,552,601,624,647,690,746,787,809,868,922,944,955,944,940,947,934,938,916,874,846,867,877,864,875,856,835,794,735,652,591,610,613,578,560,503,452,435,443,481,493,461,428,399,347,310,292,293,301,307,287,261,262,243,200,170,140,125,118,113,106
10,35,69,112,161,217,290,338,376,441,484,526,574,610,649,669,682,664,661,696,752,767,749,773,765,728,718,712,663,614,553,544,554,553,581,579,572,570,571,568,567,528,518,545,572,591,566,572,574,553,576,616,593,542,533,540,540,534,535,514,490,469,431,409,386,363,360,349,318,295,267
10,28,55,93,125,168,225,281,344,404,459,509,550,593,624,634,664,712,756,797,782,746,772,802,789,737,686,634,569,515,457,415,425,407,360,340,310,287,281,291,288,284,285,277,294,290,271,270,263,267,279,280,274,258,257,276,271,266,271,268,265,257,253,261,268,262,259,268,276,270,245
10,24,47,83,119,158,200,256,337,408,457,499,531,588,645,677,728,775,788,827,865,911,981,1008,960,914,942,953,890,851,846,811,805,798,822,855,863,858,860,860,848,820,776,766,747,716,690,698,671,624,607,550,476,430,410,365,295,241,207,171,138,128,104,78,78,78,69,55,52,51,37
10,31,68,111,152,213,277,340,432,503,528,598,656,671,710,776,829,889,933,974,1015,1041,1057,1032,1059,1096,1097,1063,1061,1085,1045,1036,1004,959,941,894,864,805,733,674,611,589,554,501,478,455,441,416,375,350,351,327,301,304,293,268,234,236,231,207,186,153,133,117,88,64,63,63,59,57,56
10,21,39,75,130,182,231,290,360,432,478,550,619,668,693,676,701,763,793,830,867,895,911,933,986,1020,1005,979,976,988,970,943,949,976,1006,997,976,978,973,949,952,925,839,770,692,603,556,502,431,372,315,271,270,263,247,252,233,214,208,190,176,154,152,159,142,124,106,74,39,19,12
10,29,52,89,150,211,245,298,361,430,508,578,660,709,739,818,923,1005,1034,1052,1089,1117,1103,1123,1184,1205,1146,1023,931,869,858,875,842,822,799,736,684,643,628,647,637,603,573,512,476,479,474,449,418,422,417,395,368,345,344,341,312,259,228,203,183,170,158,148,133,118,104,81,67,65,56
10,36,75,124,179,249,304,355,407,462,533,601,688,772,837,869,891,915,1003,1054,1062,1064,1041,1019,973,950,945,954,944,904,870,851,846,816,766,727,699,683,627,579,528,455,424,423,420,409,394,364,351,351,344,340,339,344,336,323,303,297,289,265,255,264,249,230,249,237,208,178,137,115,101
10,26,57,99,141,185,240,298,359,457,550,612,650,720,787,839,920,970,999,1058,1107,1160,1194,1214,1229,1220,1204,1174,1149,1164,1168,1110,1086,1053,988,916,858,812,690,596,573,546,485,416,400,402,404,377,345,324,302,289,288,260,220,195,175,171,160,145,129,108,106,84,53,41,20,12,9,3,1
10,27,50,100,167,231,292,360,438,506,551,609,670,735,782,799,826,863,906,931,931,924,918,937,952,944,991,1020,996,1005,1028,1011,968,891,892,940,903,872,865,849,841,845,821,796,765,711,621,508,431,370,339,338,329,316,288,253,205,157,123,99,81,51,33,31,22,9,4,1,0,0,0
10,29,60,100,146,217,295,359,412,498,569,603,615,642,714,731,743,796,790,790,827,853,850,866,962,1011,962,893,828,795,836,896,877,810,768,754,743,732,729,698,668,613,558,539,483,427,373,333,324,306,265,245,242,232,235,232,242,225,215,214,200,187,181,174,165,174,186,184,154,140,135
10,27,50,84,122,180,248,302,346,393,441,506,584,624,619,617,633,649,718,766,780,775,757,794,814,813,791,745,698,669,643,637,635,626,620,616,629,627,637,651,647,656,630,584,590,600,582,573,545,530,561,570,551,557,597,593,578,564,536,507,467,431,394,355,323,279,240,218,197,185,168
10,24,53,103,151,211,267,307,359,412,463,505,504,532,595,633,678,752,820,824,857,914,949,948,943,970,1002,1025,1053,1073,1030,1003,954,906,914,867,812,827,831,812,773,693,630,567,523,524,503,471,452,437,441,456,462,448,393,349,337,338,312,270,265,243,212,187,179,173,144,127,113,83,48
10,27,48,78,127,169,211,274,331,383,427,492,556,590,648,719,767,818,882,917,931,931,917,903,890,894,895,888,897,940,921,905,915,882,882,878,828,804,760,715,686,596,525,504,512,513,465,405,368,374,393,379,369,334,311,322,322,290,260,253,240,240,235,208,195,201,192,169,161,162,151
