0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
10,52,158,320,520,753,995,1199,1327,1426,1465,1454,1403,1368,1296,1227,1147,1069,934,802,660,522,382,293,215,154,106,68,38,21,11,4,1,0,0,0
10,55,164,320,533,761,991,1167,1308,1399,1477,1491,1454,1370,1230,1047,866,720,603,535,497,479,459,436,399,359,312,264,215,174,126,85,52,28,10,3
10,57,156,308,514,743,957,1154,1307,1389,1419,1359,1274,1172,1066,979,933,850,741,652,551,471,409,376,335,308,274,255,230,206,182,165,138,120,105,85
10,48,152,308,515,765,1035,1262,1453,1593,1632,1603,1526,1383,1220,1083,966,846,753,661,581,492,408,332,262,192,131,85,50,29,17,5,1,1,0,0
10,56,158,312,512,730,937,1110,1230,1303,1357,1346,1288,1190,1073,954,858,775,735,710,665,625,596,539,477,413,345,275,222,171,129,106,77,52,34,22
10,54,150,296,498,736,951,1111,1225,1266,1255,1226,1185,1133,1073,999,908,833,750,688,628,578,521,464,397,348,301,261,226,201,183,166,144,134,123,100
10,45,138,307,524,798,1065,1282,1431,1557,1634,1677,1680,1667,1568,1413,1214,1008,764,566,387,260,163,108,65,38,19,9,3,0,0,0,0,0,0,0
10,49,154,314,529,784,1044,1229,1362,1415,1409,1351,1279,1189,1108,1024,932,862,792,707,625,542,450,359,295,239,209,178,165,148,134,116,105,87,75,55
10,46,139,301,515,769,1045,1251,1398,1486,1530,1502,1500,1476,1433,1352,1255,1109,929,731,549,388,255,160,110,68,44,26,16,5,2,0,0,0,0,0
10,49,149,306,521,772,1040,1306,1514,1671,1755,1784,1719,1615,1449,1272,1062,856,679,537,412,311,234,161,102,59,34,16,5,0,0,0,0,0,0,0
10,49,143,290,474,707,930,1130,1305,1452,1526,1564,1559,1487,1387,1239,1073,903,741,583,463,378,302,256,223,203,187,171,155,132,115,91,69,46,29,17
