0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
0,10,87,245,462,737,1071,1458,1858,2256,2678,3114,3535,3921,4232,4519,4778,5000,5184,5321,5439,5539,5622,5689,5747,5796,5839,5874,5897,5915,5927,5934,5939,5942,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943
0,10,85,216,402,631,904,1206,1533,1883,2257,2648,3016,3376,3738,4081,4416,4749,5065,5337,5479,5596,5700,5792,5834,5871,5897,5917,5931,5939,5942,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943
0,10,86,245,476,770,1111,1478,1864,2265,2684,3108,3496,3833,4132,4387,4609,4812,4993,5130,5252,5359,5452,5535,5610,5677,5735,5784,5826,5864,5898,5923,5938,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943
0,10,86,238,443,674,936,1228,1548,1897,2260,2632,2980,3299,3600,3886,4142,4343,4488,4609,4719,4820,4914,5001,5086,5169,5250,5329,5406,5481,5553,5624,5686,5732,5772,5807,5838,5865,5888,5907,5922,5933,5940,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943
0,10,88,239,462,756,1124,1541,2012,2451,2868,3276,3671,4029,4375,4686,4893,5047,5179,5294,5388,5465,5529,5585,5633,5673,5711,5743,5774,5799,5822,5843,5862,5879,5894,5907,5918,5927,5934,5939,5942,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943
0,10,81,227,436,682,964,1279,1604,1948,2293,2607,2889,3154,3411,3659,3902,4134,4357,4572,4782,4987,5185,5341,5478,5599,5695,5776,5850,5894,5921,5934,5939,5942,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943
0,10,84,233,451,726,1049,1419,1800,2197,2544,2884,3219,3544,3857,4154,4441,4639,4816,4985,5146,5299,5443,5577,5704,5778,5839,5890,5931,5942,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943
0,10,88,246,463,742,1059,1406,1752,2094,2448,2807,3154,3480,3773,4047,4301,4541,4768,4975,5129,5267,5390,5502,5602,5692,5768,5824,5868,5896,5914,5928,5937,5942,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943
0,10,86,245,467,743,1060,1408,1762,2101,2446,2807,3174,3532,3878,4210,4493,4707,4888,5055,5210,5343,5436,5495,5548,5595,5637,5677,5715,5751,5785,5816,5843,5862,5879,5894,5907,5918,5927,5934,5939,5942,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943
0,10,85,241,462,747,1089,1460,1854,2272,2705,3159,3598,4005,4373,4676,4937,5122,5274,5411,5510,5594,5663,5719,5763,5801,5833,5859,5879,5894,5907,5918,5927,5934,5939,5942,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943
0,10,88,240,469,758,1089,1463,1861,2275,2685,3055,3394,3708,4016,4322,4628,4932,5159,5314,5421,5507,5586,5656,5718,5771,5816,5854,5887,5912,5929,5938,5942,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943
0,10,85,235,450,730,1059,1399,1755,2103,2452,2797,3135,3458,3777,4090,4388,4648,4855,5043,5215,5375,5515,5627,5722,5793,5846,5873,5893,5910,5925,5934,5939,5942,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943
0,10,81,231,436,681,959,1257,1583,1926,2245,2562,2863,3142,3416,3679,3936,4191,4379,4533,4680,4823,4959,5087,5212,5333,5451,5523,5583,5635,5680,5717,5747,5774,5799,5822,5843,5862,5879,5894,5907,5918,5927,5934,5939,5942,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943
