0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
10,42,118,243,394,544,704,880,1058,1146,1175,1180,1219,1253,1280,1320,1393,1426,1463,1487,1486,1416,1302,1279,1302,1314,1299,1273,1266,1199,1119,1014,919,817,718,643,574,537,456,346,218,142,112,103,91,80,67,60,49,38,29,18,10,2
10,50,138,269,398,530,656,828,978,1118,1227,1356,1442,1528,1581,1652,1686,1692,1687,1655,1559,1440,1327,1257,1150,1045,951,908,873,836,788,743,712,688,666,649,613,545,439,331,251,204,191,166,149,137,130,118,94,66,47,34,27,15
10,42,112,231,380,544,686,807,917,995,1081,1160,1267,1335,1367,1388,1407,1394,1382,1366,1335,1267,1187,1131,1088,1042,1007,944,871,771,677,605,585,579,559,540,501,488,469,481,479,460,432,394,357,319,297,282,266,252,237,220,206,186
10,41,119,238,377,531,682,860,992,1124,1184,1260,1323,1369,1364,1312,1293,1319,1336,1319,1299,1285,1264,1183,1101,1014,952,898,866,839,790,764,734,731,686,632,568,543,512,494,455,457,419,385,326,295,263,222,193,167,162,147,131,119
10,46,128,266,437,616,773,943,1098,1259,1394,1533,1663,1742,1777,1796,1798,1835,1847,1811,1749,1638,1545,1404,1306,1204,1134,1018,942,844,758,647,554,474,388,297,235,195,177,137,110,63,31,9,2,0,0,0,0,0,0,0,0,0
10,49,130,249,390,529,658,779,869,934,990,1046,1123,1176,1233,1274,1333,1396,1414,1474,1494,1553,1515,1462,1401,1340,1290,1198,1078,984,904,867,812,760,704,658,640,605,566,497,444,376,316,259,214,175,150,115,82,45,29,19,11,7
10,44,129,261,402,557,689,828,955,1061,1158,1220,1323,1439,1534,1604,1646,1738,1784,1743,1694,1608,1547,1412,1326,1248,1178,1077,999,952,911,865,766,660,544,458,410,366,318,249,196,168,151,138,116,82,46,14,3,0,0,0,0,0
10,41,116,234,359,483,598,712,790,852,929,996,1050,1053,1079,1132,1165,1208,1201,1238,1244,1279,1302,1327,1347,1310,1235,1139,1085,1060,1002,964,913,879,782,668,561,500,450,421,403,411,384,358,323,303,278,259,250,236,228,222,203,186
10,33,103,203,351,516,682,823,909,1009,1094,1189,1265,1314,1361,1365,1393,1410,1463,1518,1546,1568,1544,1519,1424,1297,1147,1028,942,889,838,775,701,631,579,560,529,511,471,444,405,381,355,340,301,249,188,137,102,69,47,32,25,21
10,41,122,233,375,504,660,804,960,1065,1176,1239,1324,1404,1507,1561,1578,1593,1580,1552,1489,1466,1425,1371,1304,1259,1198,1157,1137,1132,1094,1010,940,886,825,685,523,362,286,213,162,115,90,73,60,42,28,10,3,0,0,0,0,0
10,44,115,222,374,544,718,873,979,1086,1146,1232,1254,1288,1273,1292,1305,1334,1349,1348,1316,1253,1189,1162,1116,1074,998,962,926,912,913,892,876,785,713,592,529,484,487,476,451,413,403,382,375,353,322,298,264,242,199,166,131,94
10,30,94,199,346,503,642,773,936,1079,1245,1365,1475,1496,1470,1455,1462,1481,1485,1459,1429,1361,1308,1245,1189,1156,1094,1069,1040,1034,1017,981,920,870,777,724,641,592,529,445,361,268,204,149,105,68,36,14,2,0,0,0,0,0
