0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
16904,16842,16695,16479,16194,15850,15433,14953,14437,13900,13365,12857,12337,11845,11411,10974,10543,10093,9634,9187,8760,8363,7962,7574,7207,6852,6504,6156,5815,5474,5139,4807,4482,4162,3839,3527,3214,2914,2623
16904,16834,16685,16450,16154,15787,15369,14880,14328,13735,13103,12444,11770,11076,10383,9684,9003,8305,7608,6894,6166,5489,4829,4162,3539,2975,2570,2270,2045,1853,1689,1534,1386,1246,1115,985,862,750,642
16904,16839,16702,16494,16227,15889,15486,15029,14521,13964,13365,12738,12074,11406,10719,10018,9293,8606,7957,7335,6730,6234,5777,5394,5034,4705,4393,4092,3805,3536,3274,3017,2773,2537,2307,2081,1865,1660,1468
16904,16832,16688,16461,16164,15803,15364,14875,14340,13753,13125,12458,11792,11105,10400,9690,9002,8349,7733,7155,6613,6080,5563,5080,4647,4219,3856,3500,3148,2825,2587,2363,2156,1954,1759,1573,1397,1225,1064
16904,16841,16705,16497,16222,15908,15559,15159,14722,14278,13809,13297,12768,12206,11624,11045,10454,9864,9284,8720,8153,7586,7022,6479,5941,5412,4898,4383,3871,3371,2880,2402,1969,1610,1304,1023,754,599,473
16904,16840,16690,16468,16161,15788,15333,14826,14250,13629,12985,12297,11566,10790,9990,9157,8321,7469,6622,5791,4954,4187,3515,2890,2361,1918,1538,1284,1092,927,796,686,582,485,407,340,282,232,190
16904,16835,16680,16450,16147,15764,15328,14809,14236,13610,12953,12269,11556,10820,10127,9531,8955,8427,7920,7429,6951,6508,6100,5707,5321,4957,4600,4259,3926,3601,3286,2990,2702,2447,2210,1997,1817,1647,1485
16904,16837,16688,16459,16159,15788,15350,14843,14273,13640,12965,12269,11530,10803,10038,9258,8503,7779,7084,6418,5777,5161,4562,3958,3364,2849,2351,1907,1509,1177,911,683,489,329,196,95,36,13,4
16904,16835,16675,16449,16140,15750,15279,14758,14207,13640,13048,12426,11799,11146,10464,9782,9081,8389,7701,7053,6423,5842,5294,4810,4383,3985,3620,3292,2985,2696,2420,2159,1904,1685,1494,1314,1155,1009,880
16904,16840,16693,16468,16162,15784,15348,14848,14296,13706,13088,12439,11777,11112,10461,9850,9269,8687,8143,7629,7129,6647,6181,5738,5302,4889,4507,4156,3822,3499,3189,2893,2605,2329,2080,1840,1615,1410,1223
16904,16841,16701,16485,16201,15856,15456,14995,14487,13924,13307,12629,11929,11202,10465,9699,8975,8242,7505,6769,6025,5359,4724,4134,3598,3092,2608,2157,1743,1368,1020,724,532,374,235,141,99,65,39
16904,16838,16686,16456,16148,15755,15296,14775,14190,13545,12881,12190,11483,10784,10129,9502,8901,8370,7883,7401,6938,6475,6026,5616,5228,4844,4469,4098,3733,3362,2998,2635,2271,1921,1593,1317,1066,854,662
16904,16844,16698,16492,16215,15878,15495,15070,14616,14138,13622,13071,12501,11921,11330,10747,10168,9595,9025,8464,7897,7343,6813,6296,5788,5295,4888,4507,4149,3799,3454,3139,2837,2567,2309,2069,1847,1638,1448
16904,16837,16688,16465,16179,15836,15447,15007,14514,14008,13487,12951,12405,11846,11270,10682,10078,9479,8878,8300,7707,7108,6564,6064,5576,5103,4635,4200,3781,3410,3054,2738,2476,2223,1993,1774,1568,1378,1197
16904,16842,16695,16476,16186,15860,15479,15041,14555,14023,13471,12862,12237,11579,10902,10197,9471,8720,7936,7144,6355,5566,4782,4078,3461,2936,2528,2166,1827,1574,1384,1245,1118,995,885,781,683,590,505
16904,16842,16688,16456,16160,15798,15389,14928,14422,13877,13293,12688,12083,11480,10854,10219,9594,8991,8404,7850,7314,6788,6269,5757,5256,4780,4360,4016,3689,3373,3071,2779,2500,2250,2019,1811,1622,1449,1280
16904,16837,16685,16463,16152,15770,15318,14801,14225,13597,12910,12196,11473,10693,9899,9086,8262,7418,6604,5851,5144,4522,3916,3333,2793,2364,2090,1861,1647,1440,1241,1054,876,710,556,419,326,278,235
16904,16835,16689,16462,16161,15794,15359,14855,14291,13673,13002,12298,11556,10801,10023,9230,8471,7786,7105,6467,5852,5300,4789,4304,3883,3510,3158,2833,2523,2240,1975,1745,1525,1326,1130,950,787,641,509
16904,16839,16694,16478,16201,15874,15495,15066,14584,14043,13448,12836,12191,11527,10855,10195,9536,8884,8238,7660,7102,6536,6009,5513,5046,4650,4294,3941,3619,3312,3047,2811,2586,2372,2176,1986,1798,1636,1482
16904,16842,16692,16475,16190,15846,15430,14987,14505,13987,13428,12824,12188,11514,10854,10205,9573,8977,8368,7781,7205,6629,6055,5515,5024,4539,4161,3854,3565,3285,3019,2768,2520,2278,2044,1814,1600,1402,1224
