0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
17315,17238,17080,16844,16532,16173,15765,15298,14800,14289,13750,13182,12592,11997,11401,10786,10156,9537,8961,8407,7886,7420,6979,6562,6176,5789,5398,5003,4605,4210,3818,3438,3068,2753,2520,2320,2128,1942,1783,1630,1482,1337,1197,1062,932,806,682,611,544,480,420,364,312,264,220,180,144,112,84,60,40,24,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17315,17241,17095,16882,16603,16272,15890,15451,14958,14426,13867,13274,12661,12057,11441,10821,10198,9587,9026,8514,8022,7554,7099,6656,6230,5813,5399,4985,4586,4217,3867,3530,3210,2908,2642,2420,2217,2026,1843,1669,1504,1347,1198,1058,926,803,688,579,473,371,271,176,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17315,17237,17082,16854,16550,16169,15720,15212,14672,14103,13505,12892,12281,11653,11019,10383,9734,9068,8436,7896,7395,6900,6414,5961,5556,5171,4791,4453,4118,3788,3460,3136,2836,2564,2301,2045,1805,1581,1383,1191,1006,827,695,571,454,346,253,177,117,72,37,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17315,17240,17079,16842,16525,16139,15695,15196,14649,14069,13451,12803,12130,11456,10796,10177,9654,9138,8629,8144,7675,7285,6908,6539,6176,5838,5506,5177,4860,4566,4298,4052,3821,3595,3375,3159,2948,2742,2544,2353,2169,1992,1822,1657,1500,1349,1205,1079,969,869,777,693,618,550,488,430,375,323,274,229,188,152,119,90,65,44,27,15,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17315,17237,17079,16841,16521,16133,15674,15157,14586,13960,13289,12611,11925,11232,10514,9790,9059,8391,7778,7171,6591,6026,5486,4992,4564,4149,3757,3388,3041,2730,2436,2151,1875,1613,1377,1168,984,839,728,634,559,499,445,394,346,301,258,219,183,149,119,91,67,45,27,14,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17315,17237,17076,16835,16521,16139,15709,15243,14729,14165,13561,12924,12258,11566,10849,10099,9336,8580,7847,7117,6383,5667,4985,4323,3731,3281,2866,2492,2208,1979,1768,1578,1401,1232,1074,941,814,690,567,447,338,252,182,127,85,50,24,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17315,17241,17086,16863,16571,16223,15839,15420,14976,14501,14007,13515,13006,12482,11962,11433,10900,10354,9797,9227,8643,8056,7482,6910,6342,5776,5214,4678,4179,3703,3240,2802,2378,2024,1750,1490,1245,1023,862,728,608,517,452,396,347,302,260,221,184,150,119,92,68,47,30,16,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17315,17236,17080,16851,16549,16179,15743,15241,14694,14099,13470,12838,12203,11590,10971,10351,9748,9157,8609,8068,7554,7071,6601,6139,5705,5304,4942,4593,4253,3924,3609,3304,3007,2722,2447,2184,1930,1686,1460,1243,1042,857,687,526,372,310,251,195,142,92,46,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17315,17235,17076,16840,16528,16135,15673,15152,14575,13958,13291,12590,11882,11161,10446,9717,8977,8231,7504,6851,6270,5702,5195,4716,4257,3816,3384,2986,2685,2393,2109,1837,1577,1374,1188,1015,856,712,583,472,372,286,213,150,99,64,38,19,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17315,17238,17083,16864,16587,16249,15873,15460,14999,14504,14021,13528,13105,12664,12243,11812,11373,10923,10462,9993,9514,9027,8529,8022,7510,6992,6469,5946,5462,5026,4599,4184,3824,3524,3250,2991,2747,2522,2320,2132,1958,1797,1644,1498,1364,1254,1159,1073,989,908,831,756,684,615,549,487,427,370,316,265,216,171,130,94,63,38,21,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
