0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
0,0,0,0,0,10,11,15,19,25,35,39,50,56,62,69,78,89,96,106,110,124,137,152,170,182,198,210,221,234,243,251,262,270,275,283,290,297,307,315,322,331,342,350,362,371,380,395,412,420,433,442
0,0,0,0,0,10,14,18,25,32,39,43,51,61,70,75,83,88,96,101,108,116,123,132,138,145,155,167,175,181,188,202,209,216,226,232,239,246,264,270,285,298,309,320,328,339,346,358,360,366,374,380
0,0,0,0,0,10,16,23,28,35,43,51,59,73,79,89,101,108,118,130,140,150,164,171,186,200,213,226,246,264,283,297,315,328,347,362,377,393,408,418,432,446,462,476,489,500,510,527,541,557,568,576
0,0,0,0,0,10,16,22,28,35,47,55,60,69,84,91,102,110,120,133,147,157,169,181,197,209,223,239,250,259,269,285,295,302,307,316,329,336,344,353,362,372,381,391,403,413,423,436,445,456,464,472
0,0,0,0,0,10,10,18,26,34,46,57,72,86,97,115,132,149,166,184,194,206,232,245,259,279,304,321,333,352,370,392,407,425,450,464,481,491,507,527,549,567,583,602,624,638,658,683,704,729,741,757
0,0,0,0,0,10,17,20,28,32,42,53,59,66,75,83,93,96,102,113,118,129,135,142,149,160,171,179,189,193,200,204,216,218,220,224,228,234,239,246,251,256,261,268,270,276,281,284,288,293,300,302
0,0,0,0,0,10,11,16,21,26,33,38,45,52,60,73,80,86,94,102,113,122,130,139,144,153,163,176,183,192,200,211,219,228,241,247,251,257,264,269,280,288,296,302,307,313,323,333,338,344,350,359
0,0,0,0,0,10,15,19,21,28,36,42,50,57,65,73,80,90,101,114,126,133,142,157,172,188,198,211,227,243,257,264,272,278,287,297,307,319,324,336,347,353,361,366,380,387,395,402,414,422,431,440
0,0,0,0,0,10,11,15,20,25,29,39,45,58,62,72,90,108,122,136,155,178,200,215,228,246,261,275,295,318,330,340,358,372,386,397,409,426,447,466,487,510,530,556,577,593,619,640,663,693,717,738
0,0,0,0,0,10,13,18,26,32,37,39,44,48,53,59,62,67,75,83,95,102,108,118,130,140,145,155,163,175,186,194,207,216,223,236,251,263,277,292,305,326,336,353,374,385,403,420,440,455,472,492
0,0,0,0,0,10,12,22,28,37,54,72,87,107,122,139,154,173,193,206,230,242,256,275,295,313,333,352,377,401,418,435,462,479,490,511,523,542,554,565,582,599,611,623,636,650,663,678,695,714,727,732
0,0,0,0,0,10,13,20,29,37,57,74,87,97,110,124,130,142,153,170,180,185,191,198,206,218,224,232,234,242,251,256,260,262,269,274,281,287,294,300,306,315,321,331,338,344,351,355,363,370,375,384
0,0,0,0,0,10,14,16,20,33,39,48,62,70,81,95,108,120,131,151,159,167,175,190,197,212,221,231,243,256,264,279,291,304,315,323,334,351,357,363,377,388,401,408,418,430,444,457,464,475,482,490
0,0,0,0,0,10,13,18,23,35,45,55,63,77,86,101,115,126,137,152,173,187,210,231,249,266,293,314,331,353,382,407,424,450,472,503,522,545,571,589,609,629,648,664,683,700,711,728,739,756,770,779
0,0,0,0,0,10,14,19,28,36,44,48,56,68,74,81,88,105,113,126,140,153,170,187,204,225,238,255,276,293,303,320,333,343,353,358,368,380,393,403,416,430,446,460,484,502,519,528,543,560,571,587
0,0,0,0,0,10,15,20,28,33,43,47,57,67,79,88,101,111,123,132,142,153,163,172,182,189,201,208,219,224,231,236,247,254,266,271,277,285,297,307,312,321,333,341,349,359,371,378,389,398,404,414
0,0,0,0,0,10,12,14,18,24,32,39,42,48,57,64,68,74,84,92,100,105,118,127,134,141,148,155,163,166,175,184,191,200,206,215,222,230,237,250,257,268,278,289,302,315,323,335,341,353,363,372
0,0,0,0,0,10,13,17,26,38,49,54,70,84,93,103,115,130,140,146,165,177,193,211,226,245,261,275,287,308,320,332,347,362,376,395,409,426,444,458,469,490,513,524,536,551,567,586,601,612,631,649
0,0,0,0,0,10,18,29,36,49,59,74,87,96,106,115,135,147,158,172,181,188,196,204,214,221,234,243,257,261,270,278,283,288,298,303,309,315,323,328,333,341,345,352,358,363,369,372,376,379,383,390
0,0,0,0,0,10,12,14,22,32,43,47,55,68,78,91,104,120,134,152,173,185,198,207,226,236,251,261,273,292,305,315,324,334,353,373,382,393,412,433,443,456,469,480,496,510,522,538,549,557,576,588
0,0,0,0,0,10,12,21,29,41,54,65,74,79,89,99,109,123,131,142,157,170,187,201,220,237,252,263,277,293,303,314,327,338,351,359,369,379,397,408,418,427,435,440,450,461,466,470,474,480,486,496
