0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87
0,0,0,10,13,19,37,51,79,115,148,186,224,267,318,366,427,497,565,634,714,805,872,954,1030,1100,1184,1267,1356,1451,1558,1646,1754,1863,1968,2061,2171,2270,2371,2479,2588,2691,2788,2881,2974,3067,3159,3237,3315,3384,3446,3513,3573,3630,3684,3719,3771,3808,3840,3872,3904,3931,3965,3996,4032,4064,4087,4112,4143,4163,4188,4200,4223,4248,4262,4280,4292,4308,4318,4328,4339,4352,4361,4370,4381,4393,4398,4402
0,0,0,10,16,26,40,54,73,91,106,125,140,157,178,207,236,271,300,332,369,400,444,492,537,574,608,647,684,729,779,825,869,918,958,1004,1058,1112,1166,1211,1255,1304,1344,1393,1436,1477,1538,1581,1636,1698,1770,1841,1900,1952,2006,2051,2104,2146,2193,2239,2285,2336,2373,2420,2460,2503,2550,2592,2627,2666,2698,2731,2773,2813,2850,2885,2926,2962,2998,3040,3077,3110,3152,3193,3240,3293,3332,3387
0,0,0,10,25,35,59,86,115,145,186,226,284,326,375,419,484,548,602,674,742,807,890,962,1036,1111,1180,1248,1309,1363,1438,1505,1577,1637,1715,1786,1861,1928,1993,2056,2116,2174,2235,2309,2374,2444,2513,2584,2651,2710,2765,2820,2871,2935,2989,3038,3096,3151,3208,3269,3328,3386,3445,3497,3537,3579,3621,3657,3688,3724,3757,3783,3807,3835,3863,3892,3919,3944,3974,4008,4038,4065,4085,4104,4125,4143,4168,4179
0,0,0,10,17,25,36,42,57,74,91,110,130,155,186,214,250,287,318,359,399,439,482,531,581,635,696,755,825,888,950,1007,1071,1145,1202,1253,1310,1362,1415,1472,1536,1591,1657,1730,1802,1870,1953,2020,2092,2167,2230,2309,2378,2450,2531,2599,2669,2738,2796,2860,2924,2984,3038,3094,3151,3199,3245,3298,3352,3387,3433,3474,3514,3558,3605,3641,3690,3721,3768,3795,3819,3846,3873,3900,3925,3937,3948,3968
0,0,0,10,19,25,37,53,69,92,107,135,170,203,247,291,338,393,427,474,511,554,600,639,689,733,788,846,900,964,1026,1089,1160,1210,1278,1349,1420,1498,1566,1652,1723,1795,1884,1972,2053,2133,2217,2291,2374,2467,2549,2637,2723,2809,2898,2974,3067,3152,3236,3327,3394,3466,3520,3580,3637,3679,3733,3781,3817,3874,3921,3956,3996,4041,4067,4103,4138,4167,4195,4221,4246,4264,4293,4320,4334,4352,4365,4373
0,0,0,10,21,43,62,92,121,163,209,247,292,357,411,475,533,595,655,721,782,854,928,994,1063,1146,1223,1292,1365,1443,1519,1596,1671,1736,1801,1881,1955,2011,2073,2139,2210,2277,2360,2436,2514,2602,2687,2765,2836,2924,2993,3056,3130,3188,3253,3315,3355,3423,3470,3518,3564,3607,3642,3687,3735,3781,3822,3867,3899,3923,3953,3981,4017,4043,4075,4104,4129,4149,4166,4181,4195,4206,4216,4222,4230,4235,4247,4256
0,0,0,10,20,34,50,73,99,133,168,208,255,311,357,410,472,527,584,668,748,833,926,1017,1090,1166,1276,1380,1510,1635,1749,1860,1983,2105,2219,2341,2466,2576,2685,2809,2912,3021,3116,3201,3276,3348,3431,3490,3554,3621,3675,3717,3760,3803,3842,3878,3910,3944,3977,4016,4040,4062,4083,4100,4120,4140,4159,4174,4195,4210,4221,4234,4245,4255,4265,4275,4283,4293,4301,4313,4321,4328,4335,4339,4345,4349,4356,4364
0,0,0,10,15,27,50,77,106,146,178,216,273,316,375,430,499,570,641,718,797,877,952,1037,1126,1222,1326,1424,1513,1605,1680,1782,1896,1996,2088,2185,2280,2380,2462,2559,2655,2754,2845,2936,3027,3109,3206,3294,3386,3458,3528,3599,3671,3746,3809,3858,3909,3950,3998,4033,4070,4103,4125,4152,4175,4196,4221,4242,4258,4277,4298,4315,4328,4346,4358,4365,4375,4383,4388,4393,4399,4408,4414,4422,4430,4439,4446,4455
0,0,0,10,14,28,39,57,77,96,115,141,172,208,240,274,314,357,390,434,486,535,591,634,678,736,786,848,908,962,1029,1102,1165,1218,1278,1343,1404,1473,1531,1588,1652,1702,1749,1818,1866,1935,1996,2046,2109,2164,2220,2284,2353,2408,2451,2505,2551,2593,2633,2667,2715,2766,2806,2878,2917,2969,3033,3096,3139,3186,3228,3265,3311,3356,3404,3451,3498,3541,3583,3620,3659,3712,3762,3804,3839,3868,3900,3928
0,0,0,10,12,19,36,57,84,112,146,188,232,273,330,376,443,516,592,668,748,838,926,1016,1093,1183,1278,1360,1441,1538,1637,1738,1856,1963,2064,2175,2260,2347,2435,2520,2615,2695,2762,2847,2911,2968,3015,3054,3099,3139,3187,3243,3293,3346,3404,3452,3505,3551,3596,3640,3681,3720,3757,3796,3839,3872,3895,3926,3950,3978,4000,4017,4038,4058,4084,4102,4127,4144,4160,4173,4190,4208,4222,4237,4254,4266,4285,4305
