0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
30415,30354,30209,30006,29709,29365,28949,28476,27943,27328,26651,25924,25133,24285,23427,22526,21576,20608,19598,18594,17572,16506,15420,14307,13213,12126,11104,10228,9469,8756,8153,7586,7030,6501,6016,5556,5115,4732,4371,4024,3697,3379,3077,2794,2514,2254,2010,1776,1546,1345,1163,987,833,704,587,493,406,327,261,209,156,114,83,52,29,15,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
30415,30362,30232,30026,29740,29394,28961,28451,27856,27194,26480,25744,24957,24129,23256,22339,21400,20442,19457,18495,17557,16636,15731,14892,14137,13455,12823,12270,11755,11244,10749,10245,9765,9282,8808,8345,7902,7471,7052,6645,6259,5872,5499,5118,4756,4416,4079,3748,3439,3151,2883,2623,2381,2146,1933,1737,1547,1371,1217,1072,946,825,722,634,555,480,404,337,272,210,159,122,91,67,46,30,21,15,12,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
30415,30356,30224,30014,29749,29417,29023,28550,28027,27441,26792,26077,25336,24562,23743,22882,22021,21152,20282,19402,18599,17837,17141,16432,15734,15041,14350,13695,13030,12342,11682,11075,10504,9950,9396,8876,8366,7877,7399,6933,6508,6091,5682,5286,4932,4603,4325,4082,3857,3640,3422,3218,3029,2848,2658,2485,2307,2151,2000,1850,1714,1576,1444,1323,1210,1102,991,887,788,689,595,504,423,351,295,236,183,140,103,74,49,30,13,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
30415,30365,30244,30042,29755,29390,28972,28485,27938,27337,26703,26017,25295,24523,23728,22914,22073,21261,20459,19655,18906,18195,17482,16746,15992,15250,14545,13849,13185,12536,11965,11402,10854,10306,9817,9350,8892,8440,8003,7572,7147,6735,6330,5928,5528,5152,4794,4438,4101,3764,3430,3111,2796,2489,2188,1883,1593,1411,1245,1087,935,804,677,550,434,325,259,208,165,130,103,75,50,33,19,9,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
30415,30355,30223,30020,29729,29369,28942,28461,27909,27328,26681,25955,25172,24387,23547,22701,21800,20913,20010,19102,18200,17342,16505,15693,14929,14181,13435,12680,11932,11163,10388,9630,8872,8128,7460,6841,6257,5698,5140,4606,4111,3702,3360,3058,2776,2507,2264,2059,1870,1700,1540,1396,1260,1130,1020,917,821,733,655,584,514,452,390,336,284,237,195,154,121,90,63,40,21,9,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
30415,30365,30242,30046,29765,29407,28958,28449,27884,27281,26656,25970,25252,24563,23885,23202,22528,21866,21206,20567,19918,19261,18594,17897,17212,16494,15785,15077,14340,13611,12891,12169,11447,10736,10033,9318,8583,7863,7160,6425,5793,5187,4627,4103,3593,3098,2626,2158,1800,1502,1230,978,759,576,411,283,200,128,91,59,33,16,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
30415,30363,30234,30023,29739,29377,28932,28425,27851,27211,26513,25760,24941,24063,23126,22183,21230,20261,19259,18243,17185,16140,15065,14014,12962,11914,10913,10003,9134,8280,7464,6708,5994,5313,4665,4069,3532,3029,2587,2223,1886,1569,1276,1019,785,568,392,281,194,130,78,43,24,11,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
30415,30360,30225,30009,29737,29398,28983,28536,28057,27570,27047,26488,25884,25265,24630,23983,23308,22618,21908,21162,20380,19602,18809,18007,17174,16340,15554,14784,14001,13190,12396,11680,10975,10289,9622,8957,8303,7663,7029,6405,5785,5199,4639,4100,3563,3043,2538,2181,1898,1675,1491,1324,1161,1008,865,738,619,512,419,343,274,223,180,142,104,71,43,25,9,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
30415,30366,30239,30065,29822,29526,29196,28800,28351,27856,27336,26772,26169,25538,24856,24128,23380,22596,21808,21005,20205,19415,18613,17835,17091,16327,15562,14787,14026,13282,12562,11839,11132,10447,9773,9105,8527,8024,7548,7095,6660,6235,5822,5435,5050,4709,4385,4070,3777,3499,3229,2957,2705,2468,2231,2008,1803,1609,1433,1267,1120,974,837,712,594,482,385,288,200,120,50,13,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
30415,30367,30244,30041,29774,29433,29050,28612,28121,27621,27081,26505,25896,25257,24604,23924,23232,22522,21790,21030,20298,19585,18883,18165,17468,16781,16129,15505,14886,14251,13605,12972,12358,11805,11286,10795,10337,9873,9421,8958,8509,8062,7610,7158,6716,6256,5793,5331,4884,4428,3957,3503,3048,2615,2251,1927,1623,1340,1065,799,571,430,315,213,138,77,44,22,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
30415,30362,30239,30028,29736,29381,28957,28455,27881,27259,26579,25826,25028,24156,23229,22279,21295,20291,19294,18242,17155,16070,14955,13858,12793,11813,10889,10014,9174,8366,7577,6807,6156,5646,5186,4750,4341,3946,3562,3192,2814,2450,2095,1816,1554,1308,1073,882,711,551,403,272,167,98,34,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
30415,30363,30233,30034,29755,29399,28992,28499,27939,27315,26633,25906,25154,24383,23596,22791,21952,21149,20328,19498,18648,17807,16999,16226,15466,14738,14060,13391,12716,12053,11410,10786,10161,9569,9024,8498,7978,7511,7059,6620,6207,5817,5443,5086,4747,4421,4101,3794,3508,3225,2937,2666,2398,2142,1953,1804,1675,1553,1438,1328,1227,1117,1018,925,835,750,667,587,516,448,385,331,278,226,179,144,110,82,60,44,25,13,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
30415,30357,30234,30040,29779,29470,29089,28637,28144,27584,26986,26325,25605,24836,24021,23161,22278,21379,20458,19534,18595,17614,16613,15629,14669,13731,12789,11869,10972,10135,9315,8515,7740,6986,6305,5636,5006,4411,3879,3397,2961,2559,2241,1964,1721,1500,1303,1133,984,859,741,630,528,428,335,266,205,160,122,88,58,34,17,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
30415,30359,30225,30016,29726,29368,28950,28449,27907,27303,26662,25954,25187,24396,23619,22843,22073,21320,20562,19795,19077,18337,17614,16910,16201,15518,14848,14224,13625,13051,12511,11975,11454,10933,10432,9928,9437,8963,8496,8062,7639,7234,6844,6462,6116,5787,5480,5177,4878,4598,4334,4080,3855,3666,3473,3280,3097,2924,2749,2574,2415,2259,2099,1944,1798,1648,1506,1369,1231,1094,975,857,742,637,534,446,365,286,216,154,110,77,53,34,21,10,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
30415,30361,30228,30032,29742,29398,28991,28512,27976,27417,26812,26166,25491,24783,24053,23303,22527,21762,21030,20325,19603,18866,18149,17419,16706,15994,15290,14597,13909,13223,12527,11865,11233,10618,10019,9438,8870,8312,7795,7305,6829,6368,5917,5485,5099,4716,4369,4039,3713,3417,3154,2904,2684,2467,2261,2067,1873,1693,1526,1372,1243,1132,1024,924,828,736,638,552,473,393,324,258,204,154,104,68,37,15,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
30415,30364,30241,30042,29792,29477,29084,28635,28146,27618,27036,26412,25748,25090,24428,23748,23045,22314,21555,20766,19938,19080,18219,17363,16511,15631,14781,13922,13068,12238,11396,10559,9804,9099,8444,7821,7223,6653,6092,5533,4993,4459,3988,3543,3130,2751,2439,2187,1985,1803,1628,1468,1315,1168,1032,904,782,673,565,473,370,290,222,173,133,98,69,49,33,19,13,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
30415,30351,30209,29995,29701,29339,28938,28474,27983,27441,26817,26174,25496,24786,24047,23273,22463,21610,20749,19851,18887,17906,16882,15817,14741,13746,12845,12011,11239,10470,9735,9078,8444,7891,7395,6943,6515,6091,5674,5266,4876,4491,4121,3755,3401,3069,2747,2431,2132,1855,1601,1393,1212,1035,879,744,613,497,393,294,213,138,82,42,17,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
30415,30364,30234,30009,29730,29387,28997,28560,28095,27598,27054,26460,25836,25178,24490,23797,23102,22388,21671,20956,20247,19537,18831,18092,17379,16677,15997,15312,14640,13966,13312,12664,12016,11419,10840,10285,9752,9241,8733,8263,7784,7324,6862,6415,5996,5619,5279,5006,4776,4553,4349,4170,4010,3855,3702,3552,3411,3266,3125,2984,2851,2716,2580,2456,2333,2212,2091,1971,1856,1746,1638,1536,1429,1325,1229,1136,1045,961,880,803,728,659,594,530,473,415,365,318,274,232,192,157,127,101,77,56,38,24,15,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
30415,30360,30230,30030,29735,29382,28975,28525,28045,27514,26930,26320,25670,24972,24238,23471,22712,21918,21151,20383,19614,18850,18046,17224,16369,15489,14618,13731,12953,12245,11556,10868,10175,9511,8857,8209,7582,7016,6540,6096,5678,5305,4952,4609,4290,3993,3713,3443,3198,2963,2739,2530,2318,2114,1911,1713,1522,1341,1182,1030,881,742,626,541,469,405,344,291,237,193,153,118,86,60,41,24,14,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
30415,30358,30231,30026,29747,29382,28954,28482,27951,27359,26705,26005,25268,24497,23689,22856,22005,21100,20189,19261,18285,17310,16317,15346,14347,13356,12414,11472,10538,9673,8794,7921,7053,6260,5537,4912,4378,3903,3443,3006,2618,2255,1910,1619,1357,1112,894,708,547,395,275,188,128,94,62,38,21,11,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
30415,30363,30232,30016,29735,29369,28942,28443,27883,27268,26609,25864,25069,24226,23329,22375,21456,20548,19613,18695,17756,16820,15910,15013,14106,13287,12558,11862,11179,10498,9833,9201,8573,7974,7396,6833,6345,5883,5443,5040,4651,4272,3895,3548,3227,2932,2668,2434,2221,2028,1857,1700,1558,1440,1338,1241,1153,1061,979,899,822,745,680,614,547,484,424,373,324,277,235,196,160,127,100,74,51,35,21,11,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
30415,30361,30232,30027,29738,29389,28985,28533,28047,27526,26964,26378,25750,25098,24390,23659,22938,22210,21458,20701,19944,19158,18350,17546,16751,15971,15238,14521,13834,13148,12487,11818,11175,10523,9874,9239,8613,7982,7367,6755,6154,5558,4991,4466,3981,3519,3087,2738,2447,2195,1978,1801,1632,1476,1331,1193,1064,941,825,712,612,521,439,362,291,227,171,126,87,58,36,21,11,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
