0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
5933,5858,5712,5512,5268,4992,4685,4351,3983,3624,3251,2872,2512,2157,1856,1577,1332,1106,910,747,614,494,384,304,237,176,121,71,34,16,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5933,5864,5715,5505,5245,4958,4644,4298,3923,3536,3167,2841,2533,2241,1970,1726,1520,1347,1195,1046,905,771,649,544,452,373,306,249,199,155,117,85,59,39,25,16,9,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5933,5875,5756,5585,5365,5106,4812,4487,4160,3821,3464,3095,2730,2437,2197,1968,1747,1536,1332,1158,1022,901,786,677,578,487,402,324,255,195,145,107,76,51,31,17,9,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5933,5857,5705,5479,5192,4856,4500,4144,3780,3395,3018,2654,2294,1980,1692,1426,1203,1034,889,758,641,533,456,388,328,275,228,186,150,122,100,81,64,49,36,25,16,9,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5933,5856,5721,5551,5349,5111,4841,4540,4221,3907,3595,3272,2936,2589,2241,1890,1595,1331,1078,928,793,668,554,455,364,283,213,162,118,81,51,25,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5933,5856,5698,5481,5206,4872,4485,4085,3687,3265,2829,2408,2022,1711,1424,1165,943,759,622,504,404,321,254,196,147,104,69,46,28,16,9,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5933,5858,5727,5541,5312,5039,4737,4410,4060,3686,3295,2927,2567,2205,1862,1527,1194,878,606,464,347,243,151,109,72,46,26,12,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5933,5857,5698,5467,5173,4832,4465,4079,3678,3259,2835,2447,2110,1811,1556,1334,1131,950,813,691,584,491,408,333,266,208,159,117,79,45,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5933,5857,5705,5500,5269,5007,4715,4395,4046,3683,3311,2963,2644,2343,2057,1801,1600,1455,1334,1224,1123,1029,942,857,774,693,614,537,462,390,319,257,211,171,136,105,78,55,36,21,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5933,5855,5704,5481,5187,4819,4402,3931,3492,3075,2667,2272,1914,1568,1257,1050,896,764,649,555,478,414,358,310,270,232,200,169,144,121,100,81,64,49,36,25,16,9,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
