0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97
10,31,63,107,156,237,311,376,438,494,557,597,641,680,729,787,832,876,895,949,1004,1047,1056,1077,1094,1100,1078,1089,1112,1129,1166,1205,1270,1288,1302,1326,1353,1378,1325,1301,1250,1275,1262,1287,1243,1225,1202,1165,1110,1056,1048,1034,1021,959,906,831,785,723,683,652,607,503,403,316,260,203,169,145,129,109,105,93,91,79,83,73,63,36,15,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,33,70,118,173,251,327,423,537,659,752,827,887,955,1019,1072,1116,1177,1238,1291,1300,1358,1428,1481,1468,1434,1406,1364,1327,1281,1268,1282,1282,1261,1191,1136,1098,1028,973,892,826,756,716,715,695,659,645,665,684,674,653,647,620,585,541,506,476,445,440,421,410,398,374,371,357,381,369,355,321,312,312,302,276,255,245,233,227,212,200,182,169,155,129,114,104,103,88,67,37,17,5,0,0,0,0,0,0,0
10,30,71,129,197,268,333,423,513,631,735,843,921,1003,1067,1138,1191,1197,1230,1303,1434,1491,1517,1564,1592,1598,1596,1613,1578,1495,1422,1372,1311,1279,1242,1195,1136,1059,1020,984,969,961,919,892,842,825,794,784,737,739,695,690,663,653,620,588,576,570,518,446,364,309,255,209,180,172,166,154,136,120,102,85,65,52,37,27,14,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,19,44,71,129,199,262,357,441,541,637,757,883,1008,1075,1152,1207,1293,1355,1389,1427,1493,1539,1577,1572,1565,1563,1567,1566,1611,1644,1663,1606,1493,1419,1339,1295,1235,1206,1197,1207,1168,1123,1044,981,889,846,762,728,628,605,533,520,486,468,436,393,363,314,278,227,195,158,135,106,99,98,100,95,85,69,50,40,34,22,12,7,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,33,69,117,184,265,352,425,489,576,649,747,807,862,908,965,1030,1099,1158,1220,1261,1322,1390,1417,1455,1495,1568,1555,1506,1464,1430,1441,1417,1477,1481,1481,1456,1402,1357,1273,1249,1228,1187,1141,1056,968,841,751,697,655,615,575,541,521,486,451,414,374,345,314,285,268,239,220,206,195,191,178,177,165,149,122,90,69,47,37,20,12,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,29,58,91,135,192,265,336,391,445,495,558,603,667,722,780,819,840,875,907,953,973,1011,1036,1085,1088,1098,1070,1096,1120,1128,1096,1015,979,936,916,897,861,862,842,854,838,823,802,810,776,789,772,794,769,775,767,766,753,760,736,705,677,643,637,598,574,553,545,563,545,528,520,525,530,519,504,475,443,392,390,369,352,307,259,244,219,220,203,198,180,159,160,159,164,144,140,129,134,125,130,114,108
10,26,57,106,177,263,347,450,541,615,691,769,882,971,1056,1147,1187,1279,1327,1412,1473,1532,1574,1561,1585,1612,1626,1610,1583,1577,1571,1579,1588,1609,1588,1596,1550,1574,1523,1463,1369,1285,1192,1117,1033,975,873,778,693,614,543,478,388,323,260,239,213,186,144,114,76,54,27,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,28,61,110,181,254,318,421,510,624,682,783,857,977,1051,1135,1215,1301,1367,1442,1510,1569,1631,1665,1677,1667,1693,1748,1739,1724,1670,1664,1574,1513,1411,1383,1309,1240,1152,1129,1076,1055,947,890,819,803,741,695,644,624,578,559,523,497,465,424,383,351,324,274,223,175,157,121,102,75,58,39,31,23,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,24,60,109,172,240,327,417,513,579,688,758,856,906,971,1007,1059,1100,1128,1137,1166,1187,1240,1261,1321,1327,1336,1333,1345,1408,1408,1406,1339,1335,1332,1305,1307,1268,1286,1213,1175,1136,1116,1069,1053,1035,1037,1026,1044,1053,1002,914,817,774,734,665,567,490,441,378,321,273,226,189,171,179,168,154,115,78,40,20,12,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,25,60,113,183,262,351,450,553,627,711,810,911,1028,1118,1261,1326,1380,1399,1441,1507,1549,1562,1534,1471,1511,1498,1546,1511,1512,1473,1422,1382,1326,1238,1187,1121,1110,1074,1031,1018,972,953,875,823,762,735,686,661,615,604,582,541,457,377,327,313,310,302,293,268,243,216,211,202,203,205,202,196,177,168,158,159,154,145,121,112,100,103,88,72,57,50,47,38,35,35,34,27,21,15,10,7,3,4,1,1,0
