0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
10,88,239,402,555,696,812,896,980,1078,1168,1241,1303,1358,1409,1467,1513,1519,1489,1463,1464,1450,1398,1344,1254,1042,865,789,658,513,440,401,367,346,327,291,260,251,247,243,229,195,156,125,97,77,61,43,23,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,84,229,378,515,640,732,803,863,919,969,986,1001,1033,1044,1049,1062,1079,1103,1127,1154,1171,1161,1146,1140,1134,1128,1098,1035,975,939,901,862,778,628,534,505,467,383,295,254,211,156,121,105,94,87,81,76,71,65,58,51,45,38,31,24,15,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,89,235,385,531,672,806,938,1049,1142,1224,1261,1267,1248,1232,1239,1223,1194,1139,1089,1055,997,953,932,896,835,763,711,689,669,644,620,602,582,560,538,517,498,470,443,418,386,355,331,315,216,121,115,109,103,96,78,46,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,90,239,395,548,705,855,983,1098,1194,1284,1368,1409,1429,1436,1444,1469,1486,1473,1380,1234,1149,1075,986,938,900,873,830,699,593,576,556,532,463,389,359,332,303,273,240,211,186,159,136,114,86,61,45,30,17,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,87,232,374,496,615,714,789,874,956,978,976,916,864,862,852,870,889,911,930,948,966,985,1005,1019,1030,1041,1046,1007,920,863,842,775,660,574,533,503,469,427,390,362,335,314,299,280,244,205,181,170,165,158,152,147,141,135,128,122,117,111,105,100,94,86,77,67,56,42,29,19,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,84,220,360,492,613,714,806,886,955,1032,1117,1186,1221,1248,1277,1295,1277,1238,1204,1141,1093,1087,1082,1074,1057,1036,998,933,879,823,729,652,614,575,528,426,304,251,232,213,192,173,156,140,129,120,111,103,95,85,77,69,60,51,42,34,25,16,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,85,230,371,489,608,730,846,935,1000,1068,1138,1212,1293,1337,1283,1227,1240,1229,1212,1224,1187,1119,1093,1087,1069,1038,974,901,845,785,721,673,610,505,432,400,375,353,324,293,259,221,180,142,113,86,54,27,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,89,236,381,508,608,696,794,886,973,1068,1135,1166,1171,1173,1202,1210,1213,1241,1214,1105,998,937,869,760,681,661,655,649,629,595,574,565,555,544,530,517,505,488,466,440,409,380,357,334,311,287,263,241,215,191,173,155,136,116,99,87,71,53,39,23,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,85,227,376,517,652,777,889,994,1102,1207,1291,1363,1410,1401,1332,1276,1259,1226,1176,1106,1035,992,929,852,748,637,589,563,540,519,500,483,466,449,409,371,360,350,338,320,298,279,263,251,242,232,220,207,195,184,173,161,147,136,127,115,100,84,60,33,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,88,238,397,557,719,867,1001,1128,1245,1338,1393,1433,1468,1492,1516,1520,1519,1464,1372,1337,1293,1228,1161,1076,947,800,709,638,558,495,461,438,409,384,308,221,181,147,128,120,112,105,97,88,80,72,64,57,49,40,32,24,16,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,83,220,367,510,648,783,918,1030,1123,1190,1235,1297,1347,1342,1306,1290,1252,1192,1148,1120,1070,940,846,833,803,749,713,690,580,469,435,400,362,327,304,295,293,289,286,286,283,279,277,273,264,251,237,225,214,202,189,181,176,169,164,158,144,128,114,99,85,67,47,29,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,87,237,398,556,680,787,899,1000,1102,1197,1268,1308,1345,1391,1396,1334,1281,1238,1147,1049,970,899,840,806,793,782,772,761,752,743,730,712,677,595,518,485,454,424,374,305,258,229,198,175,157,137,119,101,84,58,25,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,87,236,385,521,658,789,901,1010,1124,1227,1329,1432,1530,1587,1551,1480,1459,1430,1351,1289,1157,1015,958,853,741,684,629,553,474,428,407,380,355,337,326,316,304,292,278,267,262,256,250,246,213,181,176,168,163,159,154,150,88,23,14,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
