0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
0,0,0,10,59,197,408,696,1049,1478,1975,2553,3211,3902,4564,5226,5888,6556,7222,7885,8447,8982,9512,10036,10518,10932,11336,11728,12083,12383,12608,12791,12959,13108,13240,13364,13478,13578,13672,13752,13820,13880,13927,13966,13990,14009,14022,14029,14032,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033
0,0,0,10,64,199,417,693,1025,1414,1859,2352,2863,3393,3929,4486,5052,5615,6183,6736,7244,7722,8173,8617,9052,9442,9802,10151,10482,10775,11059,11331,11573,11793,12001,12216,12417,12617,12796,12964,13110,13236,13346,13446,13544,13632,13705,13775,13832,13885,13933,13970,14001,14022,14032,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033
0,0,0,10,68,210,431,731,1096,1551,2065,2607,3171,3772,4392,5009,5605,6205,6763,7261,7710,8086,8452,8814,9146,9461,9751,10016,10278,10535,10770,10997,11219,11418,11608,11789,11960,12105,12240,12350,12458,12562,12664,12763,12862,12958,13052,13139,13227,13312,13396,13474,13550,13622,13686,13750,13806,13863,13913,13954,13985,14003,14022,14032,14033,14033,14033,14033,14033,14033
0,0,0,10,64,192,400,664,978,1349,1786,2240,2737,3283,3843,4441,5081,5733,6413,7120,7795,8467,9111,9754,10352,10918,11445,11925,12374,12782,13109,13387,13608,13759,13853,13909,13945,13978,14002,14018,14027,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033
0,0,0,10,66,194,395,677,1013,1407,1856,2344,2886,3458,4067,4718,5384,6071,6727,7373,8027,8690,9318,9876,10393,10809,11209,11529,11823,12082,12323,12539,12732,12903,13061,13197,13334,13463,13576,13657,13722,13785,13842,13890,13927,13960,13986,14006,14020,14029,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033
0,0,0,10,65,206,411,688,1011,1380,1771,2197,2660,3149,3664,4234,4825,5455,6044,6620,7210,7787,8326,8823,9314,9755,10189,10600,10983,11350,11711,12049,12299,12519,12722,12887,13031,13162,13289,13406,13501,13581,13658,13722,13779,13829,13870,13902,13931,13959,13983,14001,14015,14025,14031,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033
0,0,0,10,65,200,403,664,991,1375,1823,2304,2843,3433,4079,4739,5384,6031,6676,7334,7963,8561,9150,9702,10198,10658,11076,11482,11846,12148,12407,12628,12833,13018,13164,13292,13409,13516,13613,13683,13743,13790,13830,13868,13902,13932,13956,13978,13998,14012,14022,14029,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033
0,0,0,10,62,190,380,639,956,1332,1784,2275,2785,3298,3822,4333,4861,5410,5979,6554,7131,7659,8176,8717,9255,9788,10327,10824,11288,11716,12107,12436,12742,13022,13283,13514,13728,13904,13977,14021,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033
0,0,0,10,69,207,405,667,987,1348,1755,2170,2617,3087,3595,4096,4615,5129,5627,6087,6526,6929,7305,7680,8054,8414,8755,9075,9390,9702,9999,10244,10456,10652,10841,11018,11190,11356,11514,11671,11812,11946,12072,12197,12314,12427,12542,12660,12764,12869,12974,13073,13170,13253,13339,13415,13496,13567,13632,13694,13748,13799,13846,13883,13918,13947,13971,13991,14008,14021
0,0,0,10,66,203,410,686,1020,1425,1889,2411,2923,3456,4009,4578,5148,5685,6198,6710,7215,7715,8206,8713,9203,9642,10036,10368,10611,10801,10969,11138,11303,11454,11599,11732,11862,11989,12105,12219,12338,12450,12557,12660,12758,12863,12963,13057,13152,13237,13323,13411,13492,13569,13638,13699,13758,13802,13851,13893,13933,13967,13992,14013,14028,14033,14033,14033,14033,14033
0,0,0,10,62,195,390,663,1012,1437,1914,2455,3039,3647,4279,4937,5583,6241,6905,7554,8172,8784,9381,10007,10588,11081,11547,11981,12346,12636,12846,13007,13134,13244,13335,13417,13480,13539,13596,13650,13697,13744,13788,13830,13865,13898,13929,13955,13978,13997,14012,14021,14029,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033
0,0,0,10,60,194,417,701,1042,1448,1884,2370,2900,3449,4038,4646,5269,5894,6513,7137,7673,8174,8642,9101,9535,9946,10356,10745,11119,11464,11756,12016,12250,12447,12631,12805,12975,13139,13295,13431,13553,13649,13727,13793,13847,13893,13935,13969,13996,14013,14025,14031,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033
0,0,0,10,66,206,425,697,1028,1426,1866,2320,2806,3305,3782,4231,4675,5135,5617,6091,6552,6993,7443,7850,8236,8609,8901,9163,9395,9615,9836,10052,10266,10475,10684,10879,11086,11280,11464,11621,11769,11907,12046,12167,12282,12390,12496,12602,12709,12812,12911,13010,13103,13197,13284,13372,13451,13537,13617,13697,13771,13840,13904,13963,14011,14029,14033,14033,14033,14033
0,0,0,10,65,192,392,637,944,1321,1743,2232,2747,3301,3865,4474,5105,5786,6469,7147,7816,8460,9102,9688,10240,10771,11293,11799,12266,12644,12931,13162,13327,13469,13586,13698,13792,13863,13929,13972,14005,14026,14032,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033
0,0,0,10,67,200,405,672,1014,1415,1868,2367,2911,3452,4004,4572,5190,5838,6515,7185,7838,8481,9070,9588,10027,10397,10722,11021,11287,11526,11740,11944,12125,12287,12444,12575,12704,12818,12926,13029,13123,13210,13290,13369,13446,13509,13571,13626,13677,13728,13774,13813,13854,13889,13919,13948,13970,13993,14007,14021,14029,14032,14033,14033,14033,14033,14033,14033,14033,14033
0,0,0,10,74,209,406,682,1007,1392,1825,2297,2785,3273,3755,4233,4718,5199,5664,6107,6557,6995,7409,7815,8206,8584,8959,9337,9724,10122,10493,10786,11071,11340,11590,11836,12053,12262,12456,12634,12804,12963,13098,13206,13308,13402,13490,13567,13633,13687,13740,13789,13833,13876,13912,13941,13968,13989,14009,14021,14030,14033,14033,14033,14033,14033,14033,14033,14033,14033
0,0,0,10,67,197,399,664,979,1365,1781,2251,2746,3242,3738,4246,4758,5277,5766,6191,6581,6959,7321,7674,8027,8376,8726,9096,9470,9819,10161,10499,10811,11078,11327,11554,11766,11963,12149,12324,12487,12647,12788,12927,13071,13194,13318,13437,13548,13655,13739,13796,13846,13888,13927,13960,13986,14005,14021,14030,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033
0,0,0,10,65,195,421,711,1071,1508,2005,2544,3151,3800,4474,5186,5927,6636,7314,7963,8542,9076,9578,10034,10433,10801,11143,11458,11760,12042,12319,12579,12835,13078,13275,13445,13589,13716,13827,13921,13973,14007,14029,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033
0,0,0,10,58,180,369,626,951,1343,1822,2350,2924,3551,4180,4839,5510,6194,6870,7538,8195,8824,9389,9894,10382,10854,11272,11667,12040,12391,12710,13004,13278,13526,13683,13794,13883,13951,13986,14011,14022,14031,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033
0,0,0,10,65,201,396,678,1002,1387,1818,2310,2831,3362,3860,4356,4884,5426,5977,6542,7094,7658,8175,8629,9051,9444,9827,10203,10578,10945,11306,11654,11970,12259,12532,12797,13032,13252,13405,13519,13620,13712,13794,13864,13914,13955,13981,14000,14017,14027,14032,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033
0,0,0,10,67,200,406,687,1041,1430,1858,2331,2830,3384,3978,4609,5207,5782,6347,6883,7403,7927,8385,8817,9215,9594,9949,10284,10611,10919,11226,11511,11788,12056,12313,12557,12800,13009,13194,13351,13487,13606,13709,13794,13867,13914,13944,13966,13989,14006,14017,14027,14032,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033
0,0,0,10,63,183,383,655,989,1383,1836,2335,2876,3478,4098,4725,5409,6081,6741,7382,8034,8695,9348,9977,10518,10991,11403,11763,12058,12327,12519,12699,12854,12998,13120,13229,13311,13388,13461,13532,13595,13661,13721,13775,13825,13875,13916,13951,13984,14009,14024,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033
0,0,0,10,66,193,380,639,962,1339,1785,2304,2847,3436,4077,4740,5366,5983,6619,7268,7919,8563,9165,9733,10283,10799,11257,11672,12040,12369,12639,12874,13074,13231,13370,13475,13553,13609,13664,13713,13757,13797,13837,13874,13907,13933,13959,13979,13997,14011,14022,14029,14032,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033
0,0,0,10,59,183,370,624,942,1325,1747,2180,2660,3152,3647,4162,4723,5281,5843,6405,6989,7535,8073,8590,9083,9520,9940,10337,10694,11027,11344,11618,11865,12099,12269,12408,12538,12666,12791,12905,13010,13110,13199,13286,13367,13443,13513,13576,13640,13697,13752,13799,13846,13887,13916,13948,13973,13995,14013,14026,14032,14033,14033,14033,14033,14033,14033,14033,14033,14033
0,0,0,10,59,189,395,669,1006,1384,1821,2304,2807,3312,3852,4392,4977,5586,6175,6738,7304,7861,8391,8909,9371,9834,10271,10665,11004,11303,11580,11841,12093,12294,12465,12595,12726,12851,12970,13080,13181,13272,13356,13425,13490,13552,13609,13661,13710,13759,13803,13848,13887,13922,13953,13978,13999,14013,14025,14031,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033
0,0,0,10,63,198,400,671,995,1376,1787,2253,2758,3318,3913,4531,5145,5738,6311,6841,7358,7859,8339,8806,9211,9588,9958,10316,10667,11008,11295,11572,11822,12058,12268,12458,12641,12809,12974,13122,13261,13385,13495,13597,13694,13764,13823,13870,13909,13942,13970,13994,14012,14025,14032,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033
0,0,0,10,62,188,393,661,997,1373,1785,2219,2684,3174,3704,4263,4849,5458,6052,6630,7168,7634,8058,8469,8858,9239,9583,9911,10219,10530,10829,11104,11380,11642,11877,12087,12278,12460,12624,12785,12938,13080,13199,13297,13389,13474,13548,13612,13668,13730,13784,13829,13877,13915,13950,13981,14009,14027,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033
0,0,0,10,48,163,338,556,836,1152,1504,1900,2345,2819,3324,3858,4424,5000,5572,6107,6628,7111,7593,8060,8508,8948,9379,9807,10224,10629,10965,11278,11568,11830,12065,12270,12470,12642,12805,12953,13095,13215,13328,13425,13520,13607,13685,13754,13815,13872,13921,13961,13989,14010,14023,14030,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033
0,0,0,10,69,211,421,712,1071,1494,1967,2493,3063,3661,4282,4898,5472,6020,6569,7103,7615,8086,8542,8990,9431,9824,10202,10577,10937,11281,11616,11930,12227,12501,12729,12927,13103,13257,13397,13494,13581,13658,13718,13769,13814,13855,13894,13931,13962,13990,14012,14025,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033
0,0,0,10,69,211,415,681,1013,1411,1885,2399,2973,3582,4255,4954,5665,6397,7159,7888,8566,9174,9736,10257,10728,11108,11446,11752,12038,12297,12546,12770,12968,13135,13274,13403,13511,13601,13686,13754,13808,13853,13889,13922,13950,13977,13997,14012,14026,14032,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033
