0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1,6,19,40,70,101,142,189,232,272,310,358,406,449,492,539,582,630,676,704,720,733,747,743,726,722,727,731,741,748,756
1,8,20,35,53,77,103,127,146,167,190,207,231,251,273,299,320,353,372,396,423,444,470,489,510,531,547,571,590,611,637
1,3,10,23,46,71,99,133,159,188,211,233,258,282,308,326,343,358,370,381,396,415,431,450,463,475,492,507,525,538,560
1,7,20,38,69,107,152,192,229,261,284,302,319,338,363,385,407,431,447,464,478,497,522,544,567,595,610,623,629,632,634
1,6,19,38,70,102,143,190,235,275,308,359,407,445,491,544,593,627,673,736,774,816,838,863,883,896,924,939,973,1001,1016
1,7,18,36,67,103,145,185,234,283,325,371,411,453,483,506,530,548,559,573,591,604,612,621,636,647,655,660,680,686,702
1,4,13,32,59,91,135,179,226,274,322,370,411,458,504,549,585,629,679,722,770,812,866,912,954,997,1045,1094,1133,1174,1200
1,8,21,40,67,99,143,186,225,269,316,370,409,449,484,536,579,624,676,720,783,800,826,848,865,886,900,924,937,946,971
1,8,20,38,66,95,139,182,216,245,270,298,311,335,356,381,398,418,449,450,471,493,519,540,558,596,620,639,664,688,711
1,5,18,36,65,99,131,164,201,232,247,261,276,295,297,311,326,336,348,365,388,400,415,437,457,468,481,501,513,527,552
1,3,9,19,35,51,72,96,119,134,149,166,173,183,194,218,230,248,270,285,298,309,333,344,359,373,392,402,411,423,436
1,6,20,40,67,101,138,187,233,269,306,340,369,388,408,430,448,461,479,497,515,536,552,575,601,619,641,657,687,714,737
1,6,17,34,57,93,132,171,207,234,260,284,301,327,344,371,399,412,441,454,476,497,516,538,565,579,585,591,591,606,597
1,7,20,37,66,99,140,184,224,268,311,356,403,438,489,546,589,643,690,745,796,827,870,911,951,991,1031,1084,1125,1170,1227
1,6,18,39,67,98,144,192,236,280,327,373,411,445,479,508,525,543,562,575,593,614,646,667,686,711,732,749,766,796,825
1,5,17,36,60,92,131,173,222,269,317,366,405,456,494,538,582,619,665,703,752,792,832,863,897,907,919,938,958,980,992
1,4,9,20,36,56,76,99,122,143,164,185,204,227,253,274,294,311,340,359,381,407,431,460,485,505,527,555,575,588,594
1,4,12,31,60,91,129,171,224,271,316,368,412,460,498,539,579,619,662,705,746,798,840,872,908,924,927,906,893,876,852
1,6,20,41,71,99,139,188,235,275,315,372,421,461,499,551,592,640,678,723,770,810,859,874,895,897,887,886,877,884,896
1,4,13,30,53,86,124,162,201,237,266,287,311,333,352,374,403,424,436,447,464,473,473,494,511,535,549,564,581,582,601
1,7,18,37,62,98,141,185,229,272,320,362,400,446,500,537,578,622,676,722,748,799,843,896,935,968,1033,1079,1119,1131,1150
1,5,17,37,61,95,137,180,226,273,321,369,407,456,497,524,559,581,603,615,623,651,667,688,712,733,751,776,792,813,833
1,9,22,42,71,107,151,197,242,292,338,383,430,472,512,543,579,605,622,638,653,675,694,719,736,765,787,802,825,833,862
1,3,13,34,57,86,113,145,168,181,192,206,220,232,248,261,275,285,306,316,325,345,368,387,404,417,437,445,459,474,484
