0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93
15950,15912,15821,15682,15487,15228,14939,14593,14205,13778,13328,12833,12310,11785,11248,10749,10277,9806,9304,8818,8354,7883,7411,6920,6468,6024,5593,5162,4736,4299,3890,3532,3212,2933,2650,2402,2175,1980,1823,1672,1543,1436,1336,1235,1146,1070,989,901,825,760,683,622,560,503,438,378,332,284,240,194,153,106,73,53,33,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15950,15914,15822,15667,15463,15212,14913,14550,14109,13661,13177,12667,12098,11538,10957,10356,9788,9237,8726,8181,7661,7149,6641,6188,5742,5320,4914,4547,4235,3947,3698,3453,3231,3009,2788,2582,2390,2217,2038,1859,1695,1527,1358,1185,1025,873,717,579,463,347,263,203,153,108,80,58,39,19,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15950,15916,15827,15672,15456,15193,14877,14469,14006,13505,13003,12486,11947,11392,10814,10225,9643,9072,8497,7961,7414,6897,6409,5934,5471,5061,4662,4312,4005,3705,3421,3156,2905,2665,2440,2225,2046,1872,1729,1589,1465,1337,1221,1110,1004,910,814,729,650,566,482,403,324,255,189,131,94,60,32,11,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15950,15919,15829,15692,15506,15245,14933,14565,14143,13657,13151,12593,11974,11351,10680,10016,9341,8670,8034,7376,6732,6084,5474,4866,4290,3719,3172,2651,2171,1766,1397,1054,788,617,469,367,285,228,184,143,108,82,59,42,26,16,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15950,15912,15831,15686,15483,15251,14959,14633,14245,13820,13358,12851,12310,11788,11246,10665,10067,9465,8824,8212,7591,6962,6410,5830,5253,4705,4181,3740,3333,3005,2707,2446,2225,2013,1822,1661,1501,1361,1237,1127,1010,921,843,770,695,625,556,489,425,354,297,232,184,147,103,78,59,43,29,15,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15950,15921,15849,15710,15533,15306,15036,14696,14338,13946,13530,13074,12596,12055,11503,10926,10359,9796,9224,8655,8064,7484,6927,6335,5787,5265,4777,4334,3912,3516,3178,2907,2688,2500,2335,2192,2047,1898,1751,1611,1489,1353,1216,1093,956,850,748,658,564,477,405,327,263,199,141,83,43,22,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15950,15923,15836,15702,15517,15292,15014,14683,14335,13958,13528,13089,12587,12092,11566,11056,10556,10052,9534,9015,8545,8122,7761,7407,7060,6714,6380,6057,5714,5403,5089,4776,4469,4174,3863,3582,3292,3024,2770,2528,2286,2075,1862,1668,1472,1309,1166,1041,919,817,719,634,549,469,403,346,292,249,213,177,148,117,91,70,46,27,16,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15950,15922,15844,15716,15521,15264,14954,14570,14136,13652,13120,12546,11939,11290,10628,9938,9251,8542,7880,7266,6706,6201,5745,5321,4901,4509,4178,3879,3574,3299,3016,2773,2545,2329,2131,1932,1746,1555,1376,1192,1032,870,712,569,440,326,257,194,142,89,49,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15950,15926,15856,15724,15549,15305,15035,14717,14367,13974,13552,13115,12661,12183,11690,11207,10735,10257,9796,9366,8930,8492,8059,7617,7179,6750,6327,5929,5532,5166,4849,4535,4240,3959,3691,3414,3140,2902,2672,2455,2248,2056,1870,1706,1558,1424,1273,1133,1006,884,773,667,556,459,380,326,274,222,179,143,115,87,65,45,30,20,10,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15950,15921,15841,15709,15525,15288,14990,14636,14210,13753,13278,12727,12154,11544,10867,10168,9485,8787,8107,7442,6786,6127,5552,4978,4472,3983,3518,3089,2643,2269,1959,1676,1432,1217,1047,904,790,672,573,478,396,322,257,193,140,99,70,47,27,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
