0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
10,32,80,166,291,451,633,844,1053,1249,1443,1595,1718,1840,1914,1947,1987,1987,1967,1962,1940,1906,1902,1902,1879,1895,1930,1937,1939,1986,2000,1992,1977,1909,1750,1593,1418,1238,1051,912,764,647,529,452,378,301,222,167,105,63,40,22,5,0,0,0
10,33,85,179,315,471,659,863,1043,1209,1347,1467,1599,1730,1847,1965,2017,2063,2073,2044,2036,2039,1975,1932,1890,1836,1804,1784,1740,1697,1631,1558,1467,1402,1313,1221,1124,1025,908,815,729,654,602,557,521,502,459,409,360,326,282,271,258,239,220,196
10,34,77,155,276,408,552,711,896,1057,1214,1383,1525,1619,1708,1821,1920,1998,2121,2235,2319,2355,2355,2315,2218,2142,2063,2000,1903,1856,1751,1656,1574,1494,1386,1288,1172,1066,961,875,786,720,645,568,504,438,379,333,286,239,194,151,101,67,31,14
10,33,78,165,301,463,639,852,1078,1265,1462,1665,1824,1948,2057,2164,2209,2218,2227,2212,2130,2057,1963,1811,1623,1449,1242,1071,944,886,832,825,828,817,801,802,797,793,801,798,770,743,697,661,623,616,609,607,586,587,560,527,514,487,469,443
10,28,78,168,302,440,610,791,956,1129,1315,1538,1752,1963,2177,2378,2507,2614,2686,2695,2652,2585,2487,2399,2273,2158,2035,1897,1751,1643,1544,1470,1370,1256,1142,1038,916,844,779,717,638,553,459,365,264,184,127,87,59,42,28,16,6,3,1,0
10,34,76,158,278,425,610,831,1029,1235,1422,1595,1736,1874,1972,2065,2080,2077,2086,2097,2066,2075,2078,2010,1952,1899,1855,1815,1824,1784,1711,1616,1469,1295,1127,993,878,801,742,699,671,635,602,571,556,528,488,468,440,395,364,345,296,258,225,194
10,42,109,205,336,497,688,862,1030,1205,1338,1430,1519,1602,1705,1782,1866,1954,2045,2105,2123,2151,2147,2105,2008,1957,1854,1763,1670,1570,1476,1368,1246,1130,1013,899,827,755,676,627,604,567,541,535,523,497,490,466,455,449,438,415,418,409,397,398
10,28,74,143,249,383,550,725,879,1024,1131,1237,1313,1401,1484,1592,1660,1725,1764,1781,1771,1793,1825,1862,1908,1944,1924,1897,1841,1778,1698,1606,1484,1372,1243,1124,1031,949,891,848,820,788,780,747,721,693,671,648,635,599,577,542,492,461,439,397
10,31,72,155,275,407,587,771,954,1115,1301,1458,1619,1763,1898,2042,2130,2185,2222,2250,2217,2246,2281,2274,2265,2245,2161,2089,2020,1963,1881,1806,1677,1565,1410,1273,1121,1001,879,769,660,570,478,392,331,272,225,184,150,105,76,50,28,11,4,1
10,30,79,162,268,400,580,751,957,1136,1312,1467,1651,1770,1928,2065,2227,2378,2537,2626,2692,2706,2618,2493,2334,2192,2018,1880,1766,1677,1576,1447,1327,1191,1074,957,880,800,723,666,594,533,492,466,428,401,367,332,285,231,182,129,77,35,17,4
