0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
10,61,180,367,617,867,1099,1306,1453,1576,1680,1720,1742,1738,1738,1759,1784,1795,1736,1652,1517,1391,1274,1170,1121,1069,1042,1001,942,881,794,719,640,571,515,481,463,454,444,435,423,413,410,391,370,332,285,232,170,110,63,28,9,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,50,148,293,487,697,907,1079,1227,1330,1379,1452,1493,1530,1569,1585,1563,1550,1507,1465,1453,1421,1411,1365,1313,1260,1206,1160,1129,1097,1064,1039,987,942,880,816,754,673,601,523,446,365,292,234,193,176,163,146,131,116,101,90,74,54,33,14,2,0,0,0,0,0,0,0,0,0,0,0,0
10,58,173,354,584,854,1110,1323,1532,1672,1809,1931,2009,2098,2093,2053,1945,1822,1727,1645,1603,1520,1463,1416,1385,1369,1337,1268,1185,1068,898,756,603,496,425,362,300,246,198,142,104,58,28,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,60,173,369,616,898,1178,1430,1685,1895,2031,2128,2133,2116,2125,2097,2056,2010,1891,1725,1575,1370,1212,1114,1008,936,855,790,740,691,654,605,561,536,507,481,462,418,380,332,289,268,228,179,123,63,27,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,57,170,348,564,833,1086,1297,1507,1685,1844,2026,2152,2207,2225,2166,2069,1963,1848,1735,1670,1590,1500,1436,1389,1349,1329,1237,1077,921,729,585,463,364,305,264,254,232,191,149,101,59,34,18,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,58,181,361,584,836,1078,1302,1534,1740,1944,2110,2227,2330,2324,2265,2168,2029,1944,1909,1853,1766,1569,1323,1099,906,803,734,700,661,624,587,529,475,434,384,334,294,248,214,179,142,100,68,44,24,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,55,171,348,579,847,1073,1308,1560,1788,1988,2111,2168,2149,2149,2127,2088,2063,2012,1984,1929,1790,1608,1386,1181,1022,881,770,661,597,564,537,513,476,433,399,358,318,272,218,168,130,98,72,46,26,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,58,178,367,594,813,978,1109,1216,1327,1428,1510,1603,1669,1750,1840,1909,1987,2031,2000,1938,1835,1728,1645,1554,1457,1364,1254,1151,1077,984,881,776,620,468,350,249,197,167,155,140,130,118,104,91,73,62,45,30,18,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,53,162,340,578,842,1115,1351,1598,1827,2001,2165,2260,2279,2297,2282,2208,2167,2092,1995,1890,1762,1616,1458,1320,1176,1047,937,833,736,636,533,443,353,262,185,114,65,33,15,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,53,165,361,582,859,1116,1361,1615,1818,1986,2126,2253,2368,2425,2414,2321,2173,2026,1889,1814,1731,1645,1545,1372,1216,1072,904,770,623,489,388,313,262,224,195,165,135,103,74,46,23,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,58,178,359,588,869,1151,1403,1617,1752,1805,1816,1790,1754,1726,1720,1724,1703,1661,1559,1446,1373,1315,1276,1217,1154,1087,1037,1020,985,941,909,858,805,728,636,551,462,405,356,311,267,225,177,127,79,39,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,52,169,328,547,762,943,1128,1290,1456,1639,1810,1968,2068,2105,2104,2001,1857,1703,1536,1400,1315,1236,1150,1095,1036,969,931,883,829,792,751,718,700,683,658,631,604,574,538,475,407,322,235,179,133,102,81,62,42,24,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,45,148,313,526,756,960,1129,1277,1402,1512,1606,1650,1662,1682,1644,1601,1551,1458,1412,1370,1321,1287,1237,1192,1170,1139,1087,1003,914,802,732,685,630,587,529,510,495,479,473,427,384,358,327,312,304,291,278,263,248,234,215,203,190,177,167,153,136,116,100,75,53,31,12,4,0,0,0,0
10,49,149,313,538,793,1043,1292,1520,1729,1923,2076,2212,2325,2379,2430,2457,2438,2412,2299,2093,1836,1568,1330,1140,999,878,789,678,596,517,428,381,317,266,219,188,160,121,85,44,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,53,169,340,552,789,988,1202,1387,1589,1775,1924,2083,2181,2308,2366,2374,2356,2217,2025,1807,1580,1380,1197,1015,833,683,587,512,458,411,377,364,351,342,329,319,301,289,280,268,263,252,238,229,216,200,190,168,152,137,122,117,107,94,80,56,32,16,4,0,0,0,0,0,0,0,0,0
10,61,173,342,562,763,972,1175,1370,1566,1669,1706,1678,1647,1651,1676,1677,1622,1558,1491,1461,1457,1435,1388,1340,1281,1224,1182,1125,1051,931,798,669,556,493,436,387,361,343,323,310,293,275,266,250,232,217,203,190,177,164,150,137,123,109,97,82,67,46,28,13,4,1,0,0,0,0,0,0
10,49,156,349,579,841,1073,1284,1473,1672,1843,1950,2041,2047,2016,1967,1905,1849,1835,1815,1792,1741,1672,1600,1495,1385,1233,1062,864,673,526,415,370,346,323,295,269,251,231,216,203,189,171,161,137,123,114,100,94,77,59,44,29,18,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0
10,53,162,350,577,815,1030,1229,1401,1583,1741,1844,1920,1940,1934,1886,1846,1820,1788,1786,1777,1745,1699,1644,1575,1529,1447,1310,1168,972,826,725,617,535,445,367,301,232,173,116,68,37,16,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
