0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93
0,0,0,10,39,119,251,435,672,970,1324,1750,2207,2682,3233,3806,4416,5093,5792,6475,7173,7853,8518,9174,9833,10408,10982,11488,11977,12442,12871,13317,13691,14001,14284,14528,14743,14913,15056,15170,15288,15387,15482,15564,15638,15703,15767,15820,15861,15890,15913,15933,15949,15955,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960
0,0,0,10,53,146,301,497,738,1041,1404,1825,2285,2762,3266,3771,4289,4795,5329,5838,6349,6888,7394,7884,8365,8751,9146,9547,9933,10308,10637,10958,11276,11562,11831,12095,12339,12573,12772,12989,13200,13397,13583,13765,13935,14110,14270,14412,14557,14693,14824,14951,15073,15192,15298,15405,15507,15589,15670,15737,15788,15837,15883,15910,15936,15953,15959,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960
0,0,0,10,44,123,271,460,707,990,1325,1712,2156,2605,3107,3626,4148,4717,5292,5855,6438,7042,7620,8223,8830,9417,9962,10494,10990,11484,11970,12422,12862,13287,13685,14037,14360,14633,14893,15106,15305,15460,15566,15656,15717,15771,15808,15845,15869,15894,15914,15926,15941,15949,15958,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960
0,0,0,10,49,133,272,469,715,1006,1360,1764,2231,2730,3253,3816,4416,5011,5631,6213,6776,7322,7844,8316,8769,9203,9591,9931,10304,10649,10982,11314,11631,11935,12236,12503,12766,13029,13264,13501,13716,13963,14179,14365,14513,14626,14727,14821,14918,15005,15097,15181,15255,15318,15387,15451,15505,15560,15614,15661,15707,15742,15778,15810,15843,15865,15893,15907,15927,15940,15952,15958,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960
0,0,0,10,39,112,252,445,701,1014,1363,1785,2269,2795,3346,3953,4593,5295,5997,6748,7492,8256,8986,9692,10361,10938,11481,11970,12400,12781,13122,13419,13705,13981,14238,14475,14696,14897,15074,15239,15372,15496,15590,15674,15756,15819,15869,15903,15923,15941,15950,15958,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960
0,0,0,10,46,139,297,510,788,1117,1473,1881,2339,2854,3397,3951,4544,5132,5740,6356,6971,7575,8155,8709,9256,9771,10258,10725,11153,11595,12011,12425,12819,13208,13588,13952,14290,14576,14845,15046,15220,15363,15490,15594,15684,15752,15809,15844,15878,15900,15919,15935,15947,15955,15958,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960
0,0,0,10,45,136,279,460,717,1033,1406,1822,2294,2795,3331,3885,4446,4986,5478,5978,6455,6942,7412,7855,8278,8658,9002,9327,9616,9886,10173,10431,10678,10904,11132,11341,11542,11725,11915,12085,12241,12399,12544,12689,12826,12962,13094,13226,13352,13482,13595,13705,13808,13923,14042,14149,14248,14352,14454,14551,14640,14732,14814,14891,14970,15054,15129,15208,15277,15349,15407,15475,15534,15589,15641,15693,15738,15777,15810,15848,15877,15900,15921,15937,15948,15954,15959,15960,15960,15960,15960,15960,15960,15960
0,0,0,10,47,133,266,454,701,997,1313,1653,2023,2403,2807,3210,3656,4103,4560,5058,5544,6071,6588,7114,7615,8113,8578,9058,9503,9960,10375,10776,11177,11550,11932,12276,12576,12861,13127,13366,13590,13809,14031,14253,14449,14654,14839,15005,15149,15252,15351,15430,15496,15559,15610,15661,15709,15747,15791,15822,15857,15879,15902,15920,15934,15948,15957,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959
0,0,0,10,40,115,239,437,688,1010,1363,1764,2218,2732,3270,3843,4439,5091,5766,6451,7148,7861,8537,9187,9843,10536,11163,11813,12430,12955,13407,13807,14162,14487,14752,14972,15151,15303,15422,15524,15618,15690,15750,15797,15835,15869,15897,15919,15937,15951,15958,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960
0,0,0,10,52,141,284,495,736,1040,1374,1720,2141,2582,3033,3530,4034,4576,5154,5754,6369,7046,7716,8375,9056,9707,10334,10953,11592,12141,12682,13175,13630,14050,14403,14747,15006,15213,15396,15563,15666,15754,15836,15883,15921,15941,15953,15959,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960
0,0,0,10,41,113,254,469,746,1078,1470,1891,2384,2928,3536,4174,4818,5486,6180,6859,7494,8140,8789,9393,9961,10474,10981,11425,11864,12264,12649,13007,13331,13630,13910,14163,14390,14614,14792,14931,15070,15177,15262,15337,15407,15467,15529,15589,15645,15694,15736,15780,15815,15848,15873,15899,15918,15937,15951,15957,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960
0,0,0,10,49,148,304,500,745,1040,1375,1740,2147,2535,2928,3345,3759,4166,4574,4993,5439,5885,6332,6823,7303,7802,8313,8840,9366,9840,10340,10806,11275,11712,12111,12514,12908,13287,13663,14001,14332,14638,14879,15101,15276,15415,15570,15670,15754,15808,15849,15879,15902,15927,15946,15954,15958,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960
0,0,0,10,45,127,275,476,726,1017,1375,1781,2222,2702,3223,3749,4354,4977,5615,6253,6903,7519,8120,8710,9273,9819,10323,10834,11310,11719,12093,12413,12736,13027,13324,13593,13859,14105,14336,14559,14774,14968,15154,15325,15473,15602,15694,15772,15825,15878,15916,15937,15954,15959,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960
0,0,0,10,42,138,292,504,783,1110,1488,1925,2382,2880,3418,3978,4537,5076,5605,6149,6657,7185,7666,8094,8526,8963,9396,9816,10236,10649,10988,11342,11690,12014,12332,12645,12959,13277,13570,13881,14171,14422,14647,14862,15056,15214,15333,15423,15495,15555,15610,15667,15710,15743,15779,15813,15849,15875,15901,15918,15936,15947,15955,15959,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960
0,0,0,10,43,129,265,475,719,1007,1375,1764,2194,2651,3129,3620,4069,4493,4903,5293,5699,6069,6471,6838,7188,7529,7868,8192,8531,8821,9115,9389,9668,9923,10195,10457,10733,10996,11250,11459,11689,11902,12126,12337,12556,12764,12962,13160,13341,13528,13704,13867,14001,14123,14227,14336,14435,14533,14629,14722,14809,14900,14980,15070,15148,15221,15299,15357,15424,15489,15542,15593,15641,15691,15741,15778,15817,15842,15877,15903,15925,15941,15952,15957,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959
0,0,0,10,45,124,254,455,694,984,1321,1685,2076,2519,2986,3443,3964,4470,4990,5528,6017,6518,7012,7499,7973,8406,8840,9238,9619,9982,10369,10711,11068,11425,11772,12117,12458,12806,13173,13514,13848,14176,14462,14717,14942,15114,15271,15406,15509,15588,15648,15693,15741,15775,15813,15854,15877,15897,15925,15941,15958,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960
0,0,0,10,44,132,272,474,722,1052,1409,1793,2183,2626,3079,3525,4013,4526,5062,5606,6178,6762,7335,7903,8460,8997,9506,9984,10422,10855,11292,11691,12088,12440,12749,13028,13299,13542,13785,13979,14172,14373,14535,14677,14825,14969,15102,15229,15344,15448,15552,15640,15711,15780,15832,15875,15905,15926,15942,15955,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960
0,0,0,10,51,128,273,476,730,1063,1446,1902,2400,2963,3586,4240,4953,5686,6451,7224,8007,8837,9673,10472,11249,11998,12664,13247,13709,14132,14495,14758,14969,15143,15272,15396,15509,15619,15700,15776,15849,15892,15924,15944,15954,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959
0,0,0,10,44,131,262,443,672,949,1247,1588,1975,2386,2808,3231,3661,4122,4581,5013,5445,5853,6245,6673,7092,7522,7966,8390,8817,9258,9710,10123,10540,10939,11331,11699,12036,12345,12621,12887,13131,13365,13577,13770,13954,14127,14303,14457,14609,14746,14891,15025,15141,15267,15377,15473,15562,15629,15693,15753,15797,15831,15859,15888,15912,15930,15940,15950,15957,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960
