0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,0,0,0,0,0,1,5,18,36,65,99,132,169,219,268,312,360,408,464,516,579,638,696,756,829,904,979,1053,1133,1213
0,0,0,0,0,0,1,3,9,19,35,51,73,99,128,153,184,217,246,282,322,371,414,465,516,567,620,680,747,809,875
0,0,0,0,0,0,1,6,20,40,67,101,139,193,253,309,373,441,508,581,661,739,821,902,987,1078,1176,1275,1373,1477,1588
0,0,0,0,0,0,1,6,17,34,57,93,133,177,224,268,317,377,434,504,568,639,716,789,875,958,1044,1136,1232,1327,1440
0,0,0,0,0,0,1,7,20,37,66,99,141,191,244,305,377,455,544,629,733,851,966,1098,1234,1374,1529,1678,1836,2009,2185
0,0,0,0,0,0,1,6,18,39,67,98,145,198,254,319,394,471,556,643,733,827,919,1014,1118,1218,1326,1441,1565,1681,1804
0,0,0,0,0,0,1,5,17,36,60,92,132,178,239,305,377,458,537,634,733,843,959,1077,1202,1337,1485,1635,1791,1940,2099
0,0,0,0,0,0,1,4,9,20,36,56,77,103,131,163,200,241,281,330,384,437,494,552,621,689,765,844,925,1012,1106
0,0,0,0,0,0,1,4,12,31,60,91,130,175,236,302,376,459,542,635,734,841,955,1078,1204,1340,1480,1639,1795,1950,2112
0,0,0,0,0,0,1,6,20,41,71,99,140,194,255,316,386,471,561,655,754,867,978,1111,1239,1378,1524,1677,1837,1985,2134
0,0,0,0,0,0,1,4,13,30,53,86,125,166,214,267,319,373,436,499,566,641,722,797,872,946,1030,1114,1195,1291,1383
0,0,0,0,0,0,1,7,18,37,62,98,142,192,247,309,382,460,542,638,747,846,960,1082,1218,1360,1495,1645,1803,1978,2153
0,0,0,0,0,0,1,5,17,37,61,95,138,185,243,310,382,464,545,641,740,834,941,1045,1148,1256,1363,1485,1608,1733,1860
0,0,0,0,0,0,1,9,22,42,71,107,152,206,264,334,409,490,582,678,776,877,988,1095,1204,1316,1429,1552,1682,1814,1940
0,0,0,0,0,0,1,3,13,34,57,86,114,148,181,215,249,292,334,380,429,476,524,577,640,696,754,821,892,964,1044
0,0,0,0,0,0,1,4,14,34,62,95,137,190,249,312,389,470,553,647,750,853,953,1057,1153,1256,1362,1474,1583,1696,1820
0,0,0,0,0,0,1,6,16,28,44,59,86,111,147,184,222,269,321,368,424,483,548,615,680,757,836,913,995,1092,1185
0,0,0,0,0,0,1,6,18,37,66,97,139,183,236,306,383,462,549,642,744,852,966,1084,1212,1358,1511,1667,1826,2000,2177
0,0,0,0,0,0,1,7,21,43,66,95,128,160,197,237,285,340,397,456,518,580,655,726,809,888,968,1055,1149,1237,1339
0,0,0,0,0,0,1,6,20,43,69,104,153,203,264,329,406,484,573,671,774,884,1013,1137,1266,1404,1553,1688,1829,1978,2131
0,0,0,0,0,0,1,6,16,28,46,69,92,117,148,182,225,269,319,368,419,475,526,575,639,701,763,829,899,970,1043
0,0,0,0,0,0,1,7,20,36,59,92,130,185,239,302,369,450,533,630,731,845,962,1077,1208,1348,1501,1646,1786,1932,2065
0,0,0,0,0,0,1,6,17,36,59,90,136,187,244,311,379,455,538,634,736,844,959,1082,1201,1323,1444,1570,1705,1824,1944
0,0,0,0,0,0,1,6,17,37,62,100,144,200,258,325,391,475,562,651,760,881,999,1125,1262,1394,1553,1706,1865,2041,2221
0,0,0,0,0,0,1,7,20,42,70,103,147,196,254,318,389,470,556,648,750,853,960,1076,1183,1303,1424,1550,1678,1805,1943
0,0,0,0,0,0,1,2,8,22,42,71,106,150,200,262,323,396,477,554,631,713,799,882,974,1082,1187,1294,1398,1514,1626
0,0,0,0,0,0,1,5,12,23,35,53,76,102,130,165,204,246,289,336,390,442,497,554,612,674,737,801,869,936,1013
0,0,0,0,0,0,1,7,21,43,68,103,145,200,257,319,394,476,569,666,764,876,997,1116,1255,1389,1531,1663,1805,1946,2095
0,0,0,0,0,0,1,5,17,33,60,92,138,192,249,316,389,465,550,637,725,812,909,1005,1104,1203,1309,1395,1487,1583,1683
