0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,0,0,0,10,35,91,180,308,471,666,926,1219,1521,1865,2246,2655,3086,3512,3994,4506,5049,5564,6108,6676,7279,7874,8486,9089,9712,10283,10859,11473,12018,12526,13019,13449,13880,14299,14706,15150,15555,15961,16384,16774,17161,17576,17959,18324,18695,19046,19371,19677,19953,20212,20476,20724,20948,21180,21394,21620,21847,22069,22289,22502,22677,22845,23018,23149,23284,23410,23530,23663,23780,23887,23994,24096,24212,24315,24422
0,0,0,0,10,34,91,182,319,493,687,956,1255,1593,1988,2422,2850,3328,3845,4356,4924,5520,6147,6843,7511,8202,8933,9637,10387,11161,11969,12767,13521,14256,14989,15722,16407,17105,17744,18352,18937,19468,19990,20526,20998,21513,21999,22460,22873,23315,23708,24068,24380,24624,24831,25003,25145,25277,25395,25490,25581,25656,25720,25763,25795,25819,25832,25839,25840,25840,25841,25841,25841,25841,25841,25841,25841,25841,25841,25841
0,0,0,0,10,34,80,162,288,451,673,939,1240,1600,1976,2397,2868,3375,3897,4470,5038,5639,6274,6959,7623,8288,8976,9655,10316,11018,11703,12407,13118,13841,14582,15284,15938,16594,17216,17845,18483,19092,19671,20230,20736,21186,21624,22004,22369,22693,22981,23233,23496,23752,23971,24178,24353,24515,24665,24802,24931,25046,25146,25232,25309,25370,25437,25490,25547,25594,25638,25676,25708,25737,25756,25782,25810,25821,25828,25831
0,0,0,0,10,35,93,180,311,466,663,900,1179,1496,1849,2252,2684,3124,3602,4125,4644,5196,5771,6328,6890,7431,7996,8608,9169,9751,10325,10881,11450,11993,12540,13104,13634,14146,14632,15095,15606,16054,16500,16958,17384,17765,18158,18504,18844,19181,19506,19827,20127,20428,20704,20994,21264,21534,21754,21965,22188,22388,22598,22789,22972,23137,23300,23460,23633,23761,23894,24016,24128,24251,24348,24452,24546,24640,24716,24787
0,0,0,0,10,36,79,169,294,432,622,838,1098,1407,1749,2118,2479,2911,3408,3954,4527,5113,5750,6397,7071,7780,8476,9197,9942,10718,11483,12252,13040,13791,14587,15398,16198,16921,17568,18208,18815,19372,19915,20351,20752,21132,21455,21768,22050,22329,22571,22809,23034,23249,23444,23637,23796,23956,24088,24206,24300,24396,24502,24600,24687,24762,24830,24905,24975,25047,25107,25166,25216,25269,25318,25372,25420,25470,25515,25551
0,0,0,0,10,35,96,179,312,472,654,894,1165,1489,1838,2214,2632,3114,3581,4089,4631,5157,5708,6267,6820,7426,8015,8573,9155,9717,10253,10772,11276,11775,12266,12760,13266,13743,14221,14679,15118,15541,15963,16396,16820,17218,17637,18066,18473,18891,19294,19713,20110,20524,20954,21372,21776,22172,22552,22880,23206,23477,23708,23894,24032,24159,24289,24404,24512,24620,24725,24817,24930,25032,25117,25201,25278,25347,25409,25469
0,0,0,0,10,38,86,170,297,462,668,895,1160,1482,1854,2244,2691,3163,3639,4124,4644,5200,5780,6372,6938,7550,8134,8733,9276,9846,10437,11039,11633,12254,12832,13454,14012,14561,15120,15675,16278,16874,17432,17999,18538,19057,19545,19992,20420,20815,21165,21481,21776,22042,22273,22523,22732,22938,23127,23329,23522,23713,23882,24042,24203,24370,24521,24644,24771,24885,24995,25087,25180,25263,25341,25402,25467,25526,25576,25626
0,0,0,0,10,24,57,129,239,377,559,775,1065,1349,1647,2000,2400,2790,3209,3644,4097,4566,5060,5594,6119,6635,7179,7748,8317,8877,9416,9959,10530,11123,11708,12271,12857,13430,13991,14537,15138,15753,16360,16927,17557,18163,18798,19417,19997,20576,21136,21656,22148,22579,22979,23343,23688,23984,24214,24416,24597,24723,24831,24944,25042,25136,25226,25294,25365,25436,25499,25549,25591,25637,25683,25714,25743,25761,25789,25812
0,0,0,0,10,31,86,171,294,442,635,871,1136,1450,1762,2127,2514,2926,3341,3746,4157,4549,4971,5385,5804,6252,6692,7161,7668,8112,8583,9045,9529,10001,10447,10900,11332,11749,12154,12579,13009,13398,13823,14247,14680,15112,15549,15956,16375,16780,17181,17584,17932,18256,18568,18830,19112,19360,19628,19851,20065,20261,20466,20661,20885,21066,21255,21431,21600,21771,21940,22098,22243,22379,22528,22663,22800,22938,23063,23186
0,0,0,0,10,36,91,172,286,434,639,862,1106,1402,1724,2082,2460,2874,3299,3761,4231,4743,5253,5788,6329,6935,7525,8110,8700,9288,9877,10471,11041,11578,12166,12752,13318,13877,14457,15027,15562,16106,16622,17107,17637,18136,18605,19098,19550,20007,20456,20904,21336,21738,22123,22497,22866,23210,23563,23911,24244,24540,24783,24986,25136,25265,25368,25465,25553,25616,25669,25717,25754,25781,25809,25822,25828,25833,25837,25839
