0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97
19275,19254,19222,19168,19098,18985,18857,18722,18547,18363,18165,17950,17722,17485,17221,16935,16653,16345,16040,15704,15341,14993,14648,14264,13899,13548,13186,12810,12436,12057,11644,11231,10787,10356,9929,9461,9003,8551,8136,7702,7301,6861,6440,6014,5618,5215,4812,4453,4105,3756,3405,3071,2735,2446,2165,1904,1661,1442,1221,1009,835,718,606,519,458,403,350,313,274,241,208,181,150,129,98,77,66,62,62,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61
19275,19252,19215,19157,19079,18964,18830,18656,18427,18171,17904,17600,17284,16949,16581,16212,15833,15404,14974,14542,14104,13616,13114,12623,12148,11680,11217,10784,10353,9936,9516,9071,8654,8255,7880,7518,7157,6852,6545,6265,6026,5789,5549,5311,5094,4890,4666,4429,4206,3992,3776,3559,3372,3191,3018,2866,2715,2573,2426,2294,2163,2028,1920,1792,1671,1539,1423,1316,1218,1111,1004,916,835,749,671,602,522,459,402,340,290,247,211,176,143,108,88,76,71,71,71,71,71,71,71,71,71,71
19275,19255,19214,19146,19058,18946,18813,18635,18433,18182,17900,17590,17261,16897,16523,16123,15706,15326,14893,14403,13892,13402,12886,12328,11810,11288,10732,10197,9710,9237,8775,8338,7926,7496,7096,6731,6360,6037,5711,5376,5068,4750,4457,4176,3908,3632,3382,3124,2895,2643,2429,2205,1980,1776,1585,1392,1200,1015,874,754,651,565,499,442,385,327,276,231,191,156,129,106,91,77,69,64,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63
19275,19266,19241,19204,19137,19042,18942,18780,18601,18401,18143,17844,17518,17135,16769,16366,15928,15476,15011,14539,14049,13518,13000,12472,11946,11435,10909,10379,9869,9298,8735,8206,7692,7242,6787,6353,5947,5552,5147,4750,4345,3979,3627,3301,2998,2738,2455,2236,2010,1827,1631,1477,1307,1145,1009,871,752,646,557,474,419,362,316,284,256,217,186,156,122,101,87,72,61,53,50,49,46,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
19275,19252,19216,19158,19068,18951,18806,18643,18462,18230,17994,17715,17423,17132,16807,16458,16102,15708,15300,14882,14447,13978,13492,13030,12523,11997,11462,10968,10491,9998,9538,9050,8581,8061,7569,7100,6605,6167,5743,5332,4918,4515,4145,3777,3459,3177,2936,2708,2480,2281,2093,1905,1740,1572,1419,1289,1158,1045,944,844,760,676,605,540,470,410,349,292,233,184,143,111,94,74,64,57,54,52,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
19275,19256,19227,19184,19121,19035,18919,18785,18644,18474,18290,18086,17871,17623,17364,17091,16804,16524,16216,15897,15571,15243,14886,14535,14158,13798,13437,13088,12702,12317,11960,11606,11302,10981,10670,10386,10084,9809,9524,9242,8955,8686,8419,8153,7876,7643,7364,7104,6849,6595,6329,6082,5829,5576,5322,5093,4871,4645,4450,4234,4047,3876,3681,3502,3313,3136,2974,2793,2611,2444,2274,2107,1969,1831,1715,1579,1462,1363,1272,1203,1119,1053,983,916,855,803,757,695,644,593,551,504,464,417,379,334,303,271
19275,19259,19228,19169,19082,18965,18822,18632,18424,18207,17941,17655,17325,16970,16599,16178,15783,15320,14851,14371,13847,13319,12797,12286,11734,11185,10660,10124,9602,9083,8553,8023,7495,6944,6435,5899,5394,4861,4376,3931,3492,3091,2739,2375,2058,1764,1502,1280,1071,888,737,593,500,414,333,261,201,147,117,87,71,63,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
19275,19257,19224,19165,19076,18970,18847,18655,18460,18223,17973,17677,17366,16996,16626,16231,15781,15325,14864,14339,13815,13295,12708,12150,11618,11041,10457,9870,9302,8733,8200,7638,7159,6687,6227,5776,5378,4987,4624,4249,3911,3569,3302,3021,2750,2499,2280,2055,1855,1656,1477,1296,1133,980,831,709,597,480,385,323,257,210,166,136,108,91,78,69,60,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
19275,19261,19225,19166,19089,18985,18839,18672,18472,18260,17984,17714,17404,17078,16743,16397,16019,15643,15269,14882,14477,14082,13642,13216,12761,12315,11880,11428,10970,10472,10020,9564,9133,8685,8232,7828,7378,6964,6542,6165,5789,5406,5049,4720,4353,4014,3683,3327,2970,2630,2325,2056,1813,1551,1322,1148,984,832,707,606,511,434,380,322,263,201,154,109,86,76,69,66,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64
19275,19260,19225,19162,19077,18963,18811,18627,18410,18184,17916,17600,17273,16888,16482,16012,15562,15102,14613,14121,13595,13064,12559,12061,11593,11048,10563,10047,9537,9051,8574,8115,7669,7248,6877,6482,6127,5767,5408,5096,4749,4436,4143,3874,3613,3381,3139,2927,2720,2524,2323,2138,1983,1866,1761,1656,1553,1451,1354,1260,1183,1111,1044,972,909,841,767,707,645,590,539,487,431,385,342,310,273,242,207,185,170,150,135,123,112,100,88,78,73,67,63,63,60,60,59,59,59,59
