0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
12375,12357,12307,12217,12083,11935,11747,11516,11261,10954,10620,10209,9764,9298,8777,8242,7702,7150,6612,6082,5590,5117,4663,4213,3809,3432,3082,2766,2462,2166,1888,1612,1396,1206,1024,850,696,552,427,307,212,143,93,62,43,28,16,6,3,1,0,0,0,0,0,0
12375,12351,12309,12227,12107,11950,11741,11478,11198,10872,10528,10146,9742,9324,8900,8463,8066,7665,7238,6803,6397,5991,5587,5228,4851,4498,4136,3772,3404,3067,2787,2520,2303,2109,1940,1794,1642,1502,1367,1241,1123,1007,900,796,685,595,519,432,356,290,231,174,136,98,65,37
12375,12343,12276,12180,12049,11878,11655,11414,11150,10844,10540,10225,9895,9548,9139,8758,8359,7941,7503,7034,6635,6208,5794,5398,5026,4678,4354,4031,3728,3456,3202,2986,2785,2598,2443,2303,2159,2030,1922,1816,1699,1592,1489,1387,1293,1202,1102,1023,932,844,764,687,605,523,447,366
12375,12357,12311,12242,12136,11992,11807,11586,11363,11112,10861,10570,10273,9962,9628,9269,8910,8548,8198,7847,7498,7117,6723,6336,5939,5554,5193,4826,4495,4161,3856,3587,3342,3123,2918,2732,2556,2393,2232,2070,1912,1768,1613,1485,1349,1219,1097,965,850,750,642,555,473,389,311,245
12375,12354,12313,12230,12110,11968,11767,11542,11276,10995,10667,10309,9923,9513,9097,8625,8179,7738,7291,6847,6408,5933,5457,5017,4582,4163,3772,3368,2997,2619,2282,1966,1691,1432,1209,1009,845,690,553,440,349,275,212,161,109,77,50,28,11,4,1,0,0,0,0,0
12375,12355,12306,12223,12117,11975,11775,11555,11266,10981,10663,10308,9904,9496,9053,8598,8081,7526,6959,6427,5906,5375,4908,4466,4093,3714,3357,3028,2700,2416,2138,1910,1701,1509,1342,1181,1030,901,786,676,587,497,409,320,248,186,130,77,35,17,4,1,0,0,0,0
12375,12357,12312,12242,12135,12002,11839,11653,11456,11238,11005,10747,10453,10160,9863,9514,9164,8812,8469,8085,7721,7354,6954,6559,6176,5823,5484,5135,4828,4539,4282,4034,3775,3542,3299,3040,2826,2642,2460,2252,2047,1864,1689,1532,1398,1269,1154,1042,937,834,744,662,596,533,489,438
12375,12351,12299,12208,12093,11949,11791,11611,11400,11164,10931,10645,10328,9998,9670,9321,8956,8575,8218,7829,7452,7068,6703,6361,6045,5707,5373,5070,4782,4497,4178,3907,3614,3353,3098,2873,2636,2432,2255,2082,1927,1774,1630,1504,1361,1221,1117,1001,901,801,714,627,534,460,386,313
12375,12350,12301,12228,12098,11931,11724,11465,11187,10858,10472,10065,9617,9147,8668,8145,7607,7085,6557,6036,5515,5021,4577,4179,3793,3443,3117,2795,2499,2240,1989,1731,1494,1287,1112,967,824,698,584,477,375,295,208,149,113,81,57,35,20,11,2,0,0,0,0,0
12375,12347,12293,12197,12069,11903,11703,11482,11245,10977,10690,10368,10032,9677,9293,8891,8467,8025,7587,7105,6605,6133,5636,5160,4723,4294,3891,3541,3225,2897,2594,2310,2047,1798,1595,1392,1215,1049,893,744,613,519,430,360,292,233,182,139,101,66,42,23,12,5,2,2
12375,12356,12308,12225,12112,11963,11782,11573,11308,11024,10694,10352,9958,9548,9122,8687,8260,7835,7423,7024,6630,6230,5881,5505,5135,4808,4516,4206,3912,3633,3379,3130,2903,2685,2486,2282,2104,1935,1775,1635,1493,1378,1266,1163,1069,969,885,798,737,669,605,550,494,452,405,354
12375,12351,12300,12217,12098,11936,11739,11510,11230,10949,10618,10296,9933,9532,9148,8763,8338,7909,7474,7037,6594,6153,5750,5355,4981,4589,4208,3801,3434,3084,2740,2395,2091,1828,1594,1403,1240,1086,948,816,694,586,480,378,287,217,144,96,52,33,19,11,5,0,0,0
12375,12357,12310,12223,12119,11987,11798,11572,11347,11074,10761,10420,10046,9649,9237,8777,8322,7875,7392,6946,6517,6083,5672,5258,4868,4487,4094,3720,3350,3006,2667,2356,2028,1719,1441,1199,968,762,571,428,318,223,153,105,73,47,25,16,5,2,1,1,1,1,1,1
12375,12353,12296,12209,12079,11908,11704,11472,11206,10913,10575,10237,9847,9415,8991,8579,8117,7654,7219,6799,6378,5961,5531,5133,4739,4337,3953,3607,3278,2988,2696,2441,2216,2022,1870,1711,1587,1463,1348,1258,1150,1075,988,904,826,745,669,598,528,455,377,314,257,198,146,95
12375,12352,12303,12217,12106,11948,11760,11541,11287,10992,10687,10344,9964,9591,9220,8809,8390,7954,7505,7026,6560,6109,5674,5197,4746,4324,3909,3498,3130,2777,2458,2204,1962,1731,1487,1282,1105,949,809,671,548,433,329,236,171,102,56,29,11,3,0,0,0,0,0,0
12375,12356,12315,12235,12124,11969,11753,11513,11256,10977,10668,10325,9979,9646,9262,8876,8477,8074,7667,7281,6866,6465,6094,5702,5324,4966,4642,4330,3992,3664,3362,3065,2787,2520,2300,2080,1886,1712,1556,1417,1288,1182,1087,986,894,819,734,673,605,539,481,429,387,340,294,238
12375,12350,12305,12215,12093,11955,11783,11596,11392,11160,10914,10676,10450,10195,9971,9736,9508,9282,9056,8831,8621,8407,8183,7982,7771,7563,7335,7099,6876,6624,6393,6167,5932,5690,5445,5190,4943,4713,4464,4229,4006,3780,3587,3384,3194,3007,2810,2641,2463,2313,2156,2001,1855,1709,1564,1425
12375,12353,12315,12237,12134,11984,11803,11563,11310,11036,10719,10361,9988,9585,9148,8724,8306,7865,7419,6985,6554,6166,5801,5486,5206,4943,4671,4410,4177,3935,3689,3482,3273,3105,2960,2816,2683,2553,2417,2283,2152,2021,1903,1798,1686,1598,1510,1411,1327,1256,1186,1103,1025,946,877,813
12375,12354,12304,12210,12080,11931,11728,11480,11192,10893,10608,10277,9896,9524,9102,8697,8287,7900,7486,7072,6631,6217,5818,5411,5034,4664,4299,3954,3605,3281,2968,2703,2423,2173,1919,1665,1441,1216,1034,874,726,617,524,471,404,360,310,254,213,170,134,113,83,62,47,26
12375,12350,12308,12217,12093,11930,11725,11502,11248,10948,10666,10348,10020,9655,9296,8911,8525,8116,7714,7305,6868,6460,6077,5719,5344,4991,4633,4332,4050,3807,3553,3309,3067,2840,2639,2443,2255,2088,1931,1772,1618,1474,1325,1188,1049,931,803,695,606,506,424,350,282,239,202,172
12375,12363,12326,12256,12150,12017,11847,11630,11390,11101,10805,10466,10091,9706,9277,8866,8432,7976,7505,6984,6513,6011,5510,5029,4612,4201,3824,3490,3161,2860,2577,2348,2138,1938,1752,1578,1407,1278,1135,1005,877,758,646,562,477,392,323,262,203,162,127,89,66,38,18,8
12375,12352,12297,12217,12093,11914,11743,11520,11241,10939,10583,10193,9779,9379,9007,8651,8268,7935,7613,7267,6950,6643,6336,6028,5722,5417,5105,4796,4479,4135,3826,3528,3239,2949,2684,2402,2125,1889,1675,1467,1284,1118,951,821,688,574,477,407,338,297,254,228,190,161,127,102
12375,12357,12313,12238,12121,11975,11779,11560,11281,10977,10663,10335,9949,9536,9105,8668,8234,7735,7248,6734,6227,5714,5234,4785,4353,3970,3566,3189,2871,2559,2287,2033,1793,1599,1422,1269,1139,1008,874,757,651,571,476,392,306,233,165,114,73,46,24,12,4,1,1,1
12375,12351,12293,12208,12085,11938,11733,11510,11230,10936,10594,10228,9819,9404,8941,8505,8039,7564,7126,6695,6290,5868,5451,5023,4678,4354,4021,3719,3425,3139,2853,2593,2325,2095,1877,1680,1525,1353,1199,1048,926,825,725,635,558,481,412,338,288,230,180,133,93,61,45,26
