0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
11251,11203,11084,10912,10653,10339,9992,9574,9134,8654,8136,7593,7053,6530,6010,5513,5107,4738,4419,4113,3847,3605,3396,3201,3014,2836,2655,2491,2326,2172,2044,1914,1799,1683,1576,1473,1371,1272,1181,1090,1004,921,838,762,683,616,552,483,422,368,319,269,225,180,144,107,77,49,26,14,4,0,0,0,0,0,0,0,0
11251,11206,11095,10922,10685,10389,10054,9680,9270,8818,8342,7837,7314,6783,6238,5694,5171,4687,4254,3846,3490,3210,2962,2727,2520,2340,2171,2003,1852,1707,1561,1418,1290,1162,1037,920,808,715,620,528,444,363,292,219,153,92,39,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11251,11207,11095,10918,10662,10371,10015,9604,9172,8732,8243,7680,7112,6533,5958,5382,4817,4285,3790,3322,2864,2440,2031,1668,1353,1095,897,730,602,493,402,326,265,209,156,110,70,39,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11251,11200,11081,10894,10634,10333,9982,9588,9181,8757,8302,7868,7439,7019,6564,6109,5655,5224,4828,4457,4138,3833,3554,3287,3017,2764,2512,2286,2075,1883,1718,1567,1435,1312,1203,1086,972,858,759,651,549,445,349,260,179,113,64,28,9,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11252,11211,11113,10968,10765,10514,10206,9889,9538,9184,8827,8437,8045,7654,7258,6852,6482,6104,5751,5387,5029,4683,4340,4022,3716,3423,3134,2862,2587,2326,2070,1823,1600,1384,1190,1007,846,711,589,484,400,346,297,250,207,170,134,104,76,54,33,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11251,11203,11088,10907,10667,10349,9978,9584,9135,8677,8169,7653,7126,6579,6076,5600,5181,4757,4349,3955,3578,3237,2886,2539,2193,1868,1549,1271,1008,800,651,515,405,304,226,153,105,58,28,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11251,11201,11088,10892,10635,10303,9910,9462,8950,8408,7879,7334,6817,6292,5754,5237,4761,4282,3863,3512,3186,2912,2651,2398,2178,1976,1796,1608,1438,1285,1142,1003,877,749,635,522,415,331,255,190,126,63,27,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11251,11204,11091,10913,10687,10371,10005,9616,9180,8686,8161,7590,7028,6479,5936,5424,4959,4516,4088,3689,3289,2926,2588,2253,1900,1577,1259,1016,823,656,530,431,360,292,225,167,106,60,34,18,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11251,11203,11080,10900,10667,10367,10002,9598,9133,8627,8058,7488,6906,6297,5734,5223,4738,4268,3790,3314,2885,2502,2221,1991,1786,1596,1418,1257,1086,935,794,670,557,460,360,286,223,166,112,72,44,24,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11251,11206,11090,10913,10672,10359,10017,9605,9112,8571,8029,7494,6944,6422,5880,5367,4856,4359,3868,3383,2927,2569,2260,1997,1746,1547,1379,1227,1085,950,815,690,572,474,382,291,214,156,110,73,46,26,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11251,11203,11083,10894,10657,10390,10105,9785,9441,9063,8677,8275,7838,7394,6927,6435,5929,5407,4896,4435,3991,3572,3168,2790,2437,2115,1804,1536,1286,1038,820,655,510,418,352,305,261,221,185,150,121,91,67,46,30,18,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11251,11208,11099,10921,10673,10366,9984,9570,9075,8539,7983,7405,6815,6260,5686,5123,4607,4093,3594,3128,2717,2331,1978,1670,1397,1155,931,733,564,419,295,200,121,66,33,15,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11251,11208,11096,10900,10669,10349,9980,9539,9054,8531,7994,7413,6801,6163,5569,4999,4480,3990,3543,3110,2666,2259,1898,1565,1294,1043,826,661,524,420,337,273,211,158,113,78,46,23,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11251,11203,11083,10902,10663,10334,9932,9499,9046,8582,8127,7683,7256,6828,6401,5963,5532,5125,4740,4404,4086,3752,3425,3128,2869,2598,2338,2091,1849,1613,1397,1182,991,808,669,546,440,346,264,190,129,79,39,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11251,11209,11092,10933,10704,10447,10149,9805,9414,8991,8510,7995,7446,6923,6405,5891,5445,5066,4702,4355,4045,3751,3466,3205,2950,2715,2497,2274,2067,1886,1705,1523,1349,1186,1022,865,718,582,448,327,243,175,126,92,64,42,24,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11251,11216,11113,10948,10725,10460,10153,9819,9448,9058,8641,8213,7798,7396,6959,6569,6197,5845,5501,5157,4827,4524,4214,3920,3635,3354,3075,2833,2632,2440,2273,2101,1947,1810,1686,1572,1437,1315,1207,1099,1010,931,849,772,698,627,558,494,435,379,324,279,232,189,147,112,79,53,31,12,4,0,0,0,0,0,0,0,0
11251,11212,11112,10948,10713,10419,10069,9656,9193,8690,8146,7580,6981,6365,5767,5150,4524,3927,3355,2851,2431,2091,1787,1521,1291,1092,909,732,613,496,392,304,232,179,126,85,44,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11251,11208,11092,10921,10699,10419,10104,9719,9312,8830,8329,7795,7229,6649,6021,5429,4855,4293,3804,3404,3048,2713,2424,2207,2033,1880,1741,1620,1521,1422,1330,1243,1157,1071,988,914,838,770,699,634,570,507,447,396,341,291,247,206,173,139,110,84,56,32,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0
11251,11200,11088,10919,10689,10437,10116,9744,9319,8871,8447,8038,7641,7224,6796,6362,5964,5602,5238,4871,4503,4145,3803,3483,3163,2864,2579,2301,2038,1813,1648,1503,1369,1257,1155,1067,982,896,812,744,672,603,537,478,422,371,320,275,232,194,156,125,95,71,47,28,13,4,1,0,0,0,0,0,0,0,0,0,0
11251,11212,11105,10912,10672,10371,10032,9628,9199,8699,8189,7678,7158,6652,6173,5711,5253,4803,4338,3896,3461,3062,2666,2296,1966,1677,1433,1234,1102,1004,907,819,732,658,584,524,463,407,353,308,260,218,182,147,123,95,68,47,29,18,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11251,11208,11099,10911,10674,10393,10069,9682,9273,8810,8328,7838,7353,6870,6394,5952,5507,5050,4606,4166,3730,3305,2907,2522,2155,1776,1460,1212,987,804,634,487,370,269,189,120,69,37,16,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
