0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
10,76,159,231,294,341,367,386,401,419,424,388,337,299,255,222,203,181,137,122,107,93,83,75,67,58,49,42,38,34,25,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,76,152,205,231,262,292,320,349,363,372,348,319,301,286,256,201,145,121,110,101,94,87,85,83,81,79,77,75,72,71,62,46,40,35,31,27,23,19,15,11,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,78,151,223,294,368,417,471,439,417,408,395,358,346,311,207,154,132,115,94,77,64,56,48,40,38,32,31,25,23,21,19,17,15,13,11,9,7,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,71,146,209,246,282,315,325,344,345,314,282,265,257,248,243,232,223,215,210,205,198,156,137,121,96,81,74,44,27,13,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,74,149,218,275,323,370,381,397,347,340,335,325,313,297,287,198,177,169,161,153,144,134,127,74,61,51,41,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,78,158,217,279,317,347,346,342,354,359,347,326,293,274,254,240,227,207,154,138,123,112,100,90,76,56,44,28,18,14,9,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,76,159,222,276,317,348,354,339,345,361,367,358,346,332,283,214,181,167,155,133,93,59,53,47,42,40,38,36,34,31,27,19,17,15,13,11,9,7,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,75,156,221,285,342,371,394,418,433,454,439,407,368,303,261,185,152,137,99,84,69,56,44,38,32,26,20,15,13,11,9,7,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,78,152,229,289,331,374,398,414,410,370,339,314,308,306,306,304,227,155,107,86,79,70,62,53,45,38,33,25,17,9,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,75,150,215,280,329,340,356,348,349,345,338,323,319,313,298,260,207,188,172,160,140,112,95,71,53,27,20,17,15,9,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,71,150,205,245,278,298,326,343,319,317,301,279,274,263,257,255,188,154,147,143,136,128,125,121,118,72,60,52,45,37,30,27,25,23,21,19,17,15,13,11,9,7,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0
10,72,154,225,297,353,381,399,411,416,417,403,350,328,308,242,204,149,115,108,100,91,84,78,62,47,45,42,32,13,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,76,161,239,318,392,432,432,428,434,404,345,311,265,251,229,196,146,125,109,92,82,75,68,61,55,49,43,37,26,16,11,9,7,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,74,146,199,254,283,290,304,307,308,316,308,304,302,303,292,224,164,144,116,108,101,97,93,89,85,84,82,72,62,60,56,52,44,39,35,31,27,23,19,15,11,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
