0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
14717,14712,14699,14678,14648,14617,14575,14523,14467,14406,14338,14259,14169,14074,13975,13867,13756,13629,13493,13370,13255,13134,13009,12886,12767,12648,12528,12403,12268,12138,12011
14717,14710,14698,14683,14665,14641,14614,14583,14552,14516,14475,14434,14383,14332,14279,14217,14155,14081,14011,13936,13856,13773,13685,13592,13501,13405,13309,13202,13095,12981,12864
14717,14715,14708,14695,14672,14647,14618,14582,14549,14507,14461,14414,14360,14300,14241,14181,14118,14056,13990,13919,13845,13766,13687,13606,13527,13444,13353,13259,13162,13068,12967
14717,14711,14698,14680,14649,14611,14565,14519,14469,14419,14365,14309,14246,14181,14106,14034,13958,13878,13799,13717,13628,13537,13436,13334,13232,13122,13018,12914,12807,12702,12598
14717,14712,14699,14680,14648,14616,14574,14522,14464,14405,14340,14257,14167,14077,13973,13861,13747,13630,13494,13341,13199,13045,12909,12767,12611,12445,12275,12106,11936,11766,11595
14717,14711,14700,14682,14651,14615,14572,14526,14466,14399,14326,14244,14161,14073,13983,13893,13796,13696,13602,13500,13392,13289,13184,13075,12966,12853,12737,12629,12504,12389,12264
14717,14714,14705,14686,14659,14627,14582,14535,14479,14412,14337,14257,14171,14077,13975,13863,13752,13628,13492,13355,13205,13051,12886,12716,12538,12358,12160,11957,11753,11542,11338
14717,14710,14697,14678,14651,14619,14574,14524,14472,14409,14335,14249,14165,14075,13988,13873,13756,13625,13489,13355,13205,13073,12930,12777,12624,12469,12305,12149,11993,11831,11653
14717,14710,14698,14680,14652,14623,14578,14528,14482,14435,14382,14325,14267,14193,14126,14054,13984,13907,13818,13743,13655,13561,13465,13367,13260,13147,13035,12922,12801,12679,12549
14717,14713,14700,14682,14653,14619,14586,14549,14499,14450,14406,14358,14310,14254,14202,14139,14080,14022,13962,13889,13814,13739,13665,13585,13505,13421,13333,13238,13152,13058,12953
14717,14715,14709,14699,14683,14667,14645,14619,14590,14565,14534,14501,14472,14436,14396,14347,14304,14253,14202,14151,14098,14038,13971,13909,13843,13778,13706,13636,13560,13486,13407
14717,14712,14698,14678,14651,14617,14579,14525,14465,14409,14345,14277,14210,14137,14057,13979,13897,13816,13731,13640,13542,13443,13345,13241,13130,13021,12901,12786,12658,12527,12393
14717,14712,14701,14684,14661,14625,14585,14541,14494,14450,14401,14341,14284,14214,14150,14079,14002,13929,13843,13760,13674,13582,13486,13391,13278,13181,13089,12991,12895,12785,12681
14717,14711,14698,14681,14652,14619,14577,14527,14474,14413,14341,14263,14174,14089,13985,13867,13752,13620,13484,13344,13189,13040,12882,12709,12533,12353,12158,11956,11757,11539,11306
14717,14712,14700,14679,14651,14620,14573,14520,14464,14399,14324,14247,14162,14075,13985,13891,13799,13704,13600,13500,13392,13277,13153,13037,12914,12789,12660,12528,12387,12241,12089
14717,14713,14701,14682,14658,14626,14586,14540,14479,14413,14341,14260,14181,14084,13985,13875,13759,13641,13516,13381,13233,13083,12927,12778,12619,12474,12314,12145,11969,11798,11627
14717,14714,14709,14698,14682,14662,14641,14615,14587,14555,14518,14477,14437,14388,14334,14281,14224,14166,14097,14029,13953,13874,13793,13706,13612,13524,13426,13319,13218,13118,13018
14717,14714,14706,14687,14658,14627,14588,14543,14482,14416,14342,14259,14176,14083,13984,13877,13763,13640,13514,13378,13238,13079,12923,12768,12606,12454,12311,12173,12030,11892,11754
