0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
13277,13274,13269,13264,13256,13246,13235,13221,13211,13201,13183,13171,13155,13140,13124,13107,13086,13066,13037,13014,12991,12959,12929,12901,12873,12851,12822,12794,12774,12749,12733,12710,12693,12675,12655,12639,12621,12598,12573,12552,12533,12511,12486,12463,12445,12428,12406,12381,12362,12345,12324,12307
13277,13276,13271,13262,13253,13246,13240,13231,13219,13209,13197,13186,13173,13160,13147,13139,13129,13120,13108,13101,13095,13091,13081,13075,13072,13070,13065,13059,13053,13045,13040,13035,13029,13018,13011,13007,13002,12995,12989,12986,12981,12979,12974,12967,12963,12959,12952,12949,12945,12939,12931,12923
13277,13273,13270,13263,13260,13250,13242,13235,13224,13215,13210,13196,13182,13175,13161,13145,13133,13116,13103,13088,13078,13062,13049,13029,13017,13006,12988,12971,12952,12939,12919,12904,12886,12868,12853,12842,12825,12810,12796,12784,12775,12754,12737,12718,12702,12688,12666,12641,12621,12600,12580,12555
13277,13273,13269,13262,13257,13251,13245,13238,13232,13225,13220,13212,13205,13198,13190,13180,13171,13159,13153,13143,13134,13133,13121,13112,13102,13091,13081,13069,13055,13043,13033,13020,13011,12999,12987,12974,12965,12954,12947,12932,12919,12905,12894,12886,12873,12862,12854,12834,12820,12812,12801,12786
13277,13271,13268,13263,13254,13244,13237,13227,13220,13212,13201,13192,13181,13175,13165,13153,13141,13133,13118,13108,13098,13087,13070,13053,13037,13024,13009,12990,12977,12961,12947,12936,12923,12911,12900,12885,12869,12853,12840,12827,12809,12792,12784,12772,12762,12750,12740,12729,12722,12711,12699,12681
13277,13272,13265,13256,13246,13232,13221,13213,13201,13190,13180,13172,13160,13143,13128,13111,13097,13077,13058,13037,13008,12993,12974,12961,12953,12938,12917,12902,12887,12873,12859,12839,12821,12808,12794,12776,12757,12739,12725,12703,12687,12671,12653,12637,12623,12613,12600,12590,12576,12565,12551,12539
13277,13272,13268,13266,13261,13251,13241,13236,13225,13216,13208,13199,13190,13178,13162,13151,13143,13135,13125,13114,13106,13098,13089,13082,13069,13061,13055,13050,13041,13031,13020,13013,13000,12991,12984,12980,12973,12963,12956,12941,12936,12925,12917,12908,12896,12888,12877,12867,12857,12848,12838,12833
13277,13273,13271,13267,13261,13251,13241,13232,13220,13212,13192,13179,13163,13148,13140,13129,13120,13111,13104,13092,13085,13082,13073,13062,13052,13044,13035,13023,13011,12999,12988,12976,12961,12951,12945,12935,12917,12906,12895,12887,12872,12849,12833,12817,12798,12786,12771,12750,12739,12727,12715,12699
13277,13275,13269,13263,13257,13248,13238,13229,13216,13200,13193,13182,13170,13159,13150,13138,13123,13111,13099,13088,13075,13058,13042,13026,13006,12978,12958,12936,12916,12895,12877,12853,12836,12820,12800,12775,12752,12729,12706,12684,12665,12639,12618,12604,12583,12556,12542,12524,12508,12486,12469,12456
13277,13273,13270,13264,13256,13244,13231,13223,13211,13201,13188,13170,13156,13144,13128,13114,13095,13083,13066,13051,13033,13018,13007,12996,12982,12970,12955,12940,12928,12917,12900,12882,12872,12860,12844,12834,12827,12810,12797,12785,12774,12759,12751,12738,12728,12715,12705,12689,12676,12665,12650,12637
13277,13274,13269,13266,13261,13253,13243,13234,13222,13212,13200,13191,13186,13176,13167,13157,13147,13141,13133,13124,13116,13104,13097,13090,13084,13078,13068,13060,13052,13045,13039,13032,13026,13019,13014,13011,13005,12999,12989,12983,12978,12970,12966,12958,12954,12948,12942,12936,12925,12919,12916,12908
13277,13276,13269,13263,13260,13255,13251,13245,13239,13234,13228,13219,13214,13206,13202,13189,13179,13166,13153,13144,13130,13126,13122,13111,13104,13095,13087,13079,13065,13055,13043,13030,13018,13005,12995,12981,12972,12961,12952,12945,12934,12925,12918,12911,12906,12901,12895,12884,12879,12869,12863,12859
