0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
15620,15595,15537,15464,15377,15272,15154,15030,14923,14808,14679,14552,14410,14267,14119,13959,13793,13613,13435,13269,13075,12872,12677,12449,12233,12014,11773,11525,11268,11015,10747,10485,10209,9931,9632,9330,9034,8725,8396,8069,7742,7398,7044,6678,6313,5935,5533,5132,4736,4337,3935,3517,3111,2711,2312,1923,1572,1247,954,684,469,316,209,133,89,60,37,16,6,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
15620,15596,15548,15471,15376,15258,15100,14921,14723,14507,14287,14051,13851,13647,13441,13236,13026,12817,12588,12357,12127,11882,11641,11401,11148,10875,10600,10329,10031,9741,9448,9132,8818,8488,8155,7813,7475,7115,6771,6384,6018,5653,5257,4850,4446,4035,3636,3257,2900,2541,2174,1855,1536,1227,921,659,451,298,183,117,78,42,18,6,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
15620,15597,15544,15476,15396,15321,15238,15161,15074,14977,14868,14760,14650,14522,14382,14241,14096,13939,13775,13605,13434,13244,13062,12864,12674,12460,12236,12018,11772,11536,11284,11027,10765,10493,10214,9941,9639,9362,9060,8754,8427,8108,7771,7432,7062,6707,6343,5970,5595,5217,4820,4427,4021,3624,3204,2852,2507,2164,1848,1546,1277,1035,820,626,425,279,196,125,74,44,24,9,3,0,0,0,0,0,0,0,0,,,,,,,,,,
15620,15600,15556,15489,15403,15295,15168,15056,14936,14816,14681,14543,14398,14245,14085,13933,13761,13590,13405,13214,13017,12810,12601,12378,12152,11923,11676,11435,11170,10907,10635,10355,10057,9771,9483,9176,8858,8519,8179,7831,7492,7144,6778,6410,6048,5669,5294,4905,4521,4135,3756,3378,3008,2628,2225,1820,1450,1118,847,642,479,348,243,169,122,87,59,36,21,12,7,2,0,0,0,0,0,0,0,0,,,,,,,,,,,
15620,15601,15554,15495,15419,15316,15206,15105,15008,14902,14784,14662,14534,14401,14258,14115,13960,13788,13617,13440,13250,13057,12867,12644,12419,12203,11982,11746,11492,11236,10973,10714,10428,10155,9871,9574,9282,8980,8662,8340,8019,7672,7337,6983,6627,6258,5884,5494,5109,4721,4316,3944,3575,3230,2909,2616,2329,2071,1828,1579,1338,1111,906,708,536,397,292,212,156,106,68,46,26,14,8,3,1,0,0,0,0,0,0,0,0,,,,,,
15620,15593,15534,15439,15311,15178,15032,14899,14749,14592,14442,14281,14138,13963,13786,13603,13418,13218,13018,12818,12599,12369,12147,11912,11676,11427,11170,10912,10653,10380,10092,9801,9508,9201,8894,8569,8235,7901,7552,7202,6846,6480,6112,5730,5327,4936,4554,4177,3773,3376,2995,2593,2212,1846,1490,1144,855,614,409,267,187,124,75,43,26,13,7,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
15620,15598,15542,15467,15369,15242,15098,14926,14739,14537,14328,14123,13925,13735,13559,13364,13157,12946,12733,12523,12300,12074,11841,11598,11336,11090,10826,10555,10281,9983,9694,9395,9087,8773,8456,8128,7784,7441,7076,6719,6351,5989,5607,5197,4809,4404,4006,3606,3225,2856,2497,2153,1844,1552,1279,1030,805,625,485,369,272,185,131,97,70,51,32,14,5,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
15620,15601,15555,15484,15393,15287,15157,15016,14886,14729,14577,14412,14245,14076,13912,13738,13551,13353,13151,12958,12745,12511,12297,12068,11830,11585,11325,11078,10800,10523,10226,9948,9645,9339,9041,8719,8401,8065,7731,7367,7015,6667,6284,5912,5528,5146,4750,4351,3953,3563,3173,2802,2446,2121,1822,1538,1290,1074,881,707,550,417,297,183,110,71,47,34,22,12,4,1,0,0,0,0,0,0,0,0,,,,,,,,,,,
15620,15602,15566,15506,15415,15294,15149,14979,14780,14612,14443,14272,14104,13941,13765,13571,13378,13190,12992,12798,12581,12360,12117,11882,11649,11407,11153,10892,10631,10336,10048,9749,9463,9159,8855,8515,8193,7857,7516,7168,6827,6460,6080,5718,5328,4919,4515,4118,3737,3344,2957,2610,2277,1955,1679,1433,1239,1058,915,787,667,555,465,392,322,271,219,173,128,96,71,49,31,15,7,0,0,0,0,0,0,0,0,,,,,,,,
15620,15600,15547,15476,15389,15279,15162,15050,14918,14791,14653,14518,14372,14219,14063,13887,13727,13545,13375,13188,12977,12769,12552,12333,12100,11863,11620,11374,11126,10876,10605,10313,10047,9781,9466,9156,8837,8519,8183,7850,7503,7171,6813,6458,6077,5700,5303,4910,4538,4173,3799,3438,3073,2744,2410,2074,1766,1482,1223,972,735,536,396,296,227,163,122,90,57,34,19,7,2,0,0,0,0,0,0,0,0,,,,,,,,,,
